Word,Freq,Rank
the,3414,1
and,2043,2
to,1149,3
a,1002,4
he,993,5
of,811,6
was,675,7
in,604,8
little,569,9
his,550,10
that,459,11
it,457,12
she,399,13
they,386,14
i,363,15
you,344,16
for,328,17
as,323,18
said,304,19
had,286,20
but,277,21
with,277,22
so,273,23
when,263,24
at,260,25
her,257,26
on,242,27
is,230,28
all,216,29
not,208,30
were,187,31
came,178,32
him,171,33
one,165,34
there,163,35
be,160,36
from,157,37
out,153,38
very,150,39
could,148,40
then,144,41
have,144,42
up,131,43
will,127,44
this,122,45
my,117,46
went,114,47
their,112,48
them,110,49
down,108,50
would,108,51
who,105,52
great,105,53
"""i",103,54
me,98,55
old,96,56
are,92,57
what,91,58
do,91,59
"said,",89,60
by,89,61
into,88,62
saw,87,63
like,85,64
see,84,65
made,84,66
if,84,67
your,81,68
no,80,69
after,77,70
more,77,71
where,72,72
come,72,73
did,71,74
looked,70,75
king,69,76
over,69,77
time,67,78
go,66,79
away,66,80
just,66,81
about,65,82
big,63,83
good,63,84
make,62,85
put,61,86
ran,61,87
or,60,88
people,60,89
man,60,90
how,60,91
than,60,92
every,59,93
two,58,94
we,58,95
took,57,96
am,56,97
some,56,98
never,54,99
"it,",54,100
him.,54,101
"him,",54,102
know,53,103
mother,52,104
began,51,105
thought,50,106
day,50,107
much,49,108
father,49,109
can,49,110
once,48,111
heard,47,112
only,46,113
long,45,114
other,45,115
boy,45,116
take,44,117
stood,44,118
margery,43,119
upon,43,120
got,43,121
shall,42,122
jackal,42,123
any,42,124
until,42,125
red,41,126
which,41,127
an,41,128
back,41,129
own,40,130
way,40,131
men,40,132
many,40,133
an',39,134
through,39,135
must,39,136
beautiful,39,137
been,38,138
think,37,139
last,37,140
"""oh,",37,141
"""you",37,142
something,36,143
look,36,144
should,36,145
till,36,146
soon,35,147
gingerbread,35,148
white,35,149
while,35,150
before,35,151
eat,35,152
now,35,153
door,34,154
"me,",34,155
fir,34,156
help,34,157
prince,33,158
get,33,159
always,33,160
asked,33,161
lion,33,162
poor,33,163
called,33,164
mouse,33,165
grew,33,166
left,33,167
still,32,168
let,32,169
felt,32,170
along,32,171
"you,",32,172
round,32,173
tailor,32,174
told,31,175
head,31,176
such,31,177
it.,31,178
want,31,179
too,31,180
tree,31,181
knew,30,182
"day,",30,183
them.,30,184
hard,30,185
lived,30,186
thing,29,187
"up,",29,188
nightingale,29,189
these,29,190
emperor,28,191
"""the",28,192
gold,28,193
end,28,194
"them,",28,195
fox,28,196
another,28,197
tiny,28,198
next,28,199
wanted,28,200
give,28,201
david,27,202
turned,27,203
work,27,204
"""and",27,205
gave,27,206
himself,27,207
ever,27,208
"that,",27,209
don't,27,210
found,27,211
"then,",27,212
home,26,213
because,26,214
quite,26,215
"""it",26,216
going,26,217
story,26,218
"said,--",26,219
kept,26,220
used,26,221
garden,26,222
city,25,223
sing,25,224
set,25,225
brother,25,226
children,25,227
even,25,228
kind,25,229
i'll,25,230
pretty,25,231
country,25,232
tell,24,233
has,24,234
brought,24,235
"out,",24,236
said.,24,237
catch,23,238
enough,23,239
sent,23,240
house,23,241
find,23,242
new,23,243
most,23,244
its,23,245
place,23,246
"""what",23,247
small,23,248
sat,22,249
first,22,250
cannot,22,251
again,22,252
"was,",22,253
"""but",22,254
struck,22,255
run,21,256
strong,21,257
fast,21,258
hold,21,259
"down,",21,260
"man,",21,261
happy,21,262
tiger,21,263
things,21,264
far,21,265
three,20,266
wind,20,267
sweet,20,268
dear,20,269
"there,",20,270
"""who",20,271
off,20,272
hear,20,273
us,19,274
"""that",19,275
became,19,276
near,19,277
leaves,19,278
wife,19,279
without,19,280
carried,19,281
each,18,282
cherry,18,283
well,18,284
may,18,285
wonderful,18,286
field,18,287
robert,18,288
cut,18,289
nothing,18,290
keep,18,291
cried,18,292
"again,",18,293
fine,18,294
eyes,18,295
might,18,296
here,18,297
"""a",18,298
under,17,299
"this,",17,300
"last,",17,301
our,17,302
"mother,",17,303
better,17,304
those,17,305
anything,17,306
tried,17,307
hermit,17,308
"brahmin,",17,309
water,16,310
king's,16,311
fell,16,312
whole,16,313
trees,16,314
horse,16,315
giant,16,316
right,16,317
voice,16,318
home.,16,319
music,16,320
earth,16,321
killed,16,322
against,15,323
face,15,324
opened,15,325
live,15,326
lazy,15,327
care,15,328
food,15,329
everything,15,330
"time,",15,331
night,15,332
years,15,333
almost,15,334
hand,15,335
king.,15,336
terrible,15,337
again.,15,338
*,15,339
court,15,340
"home,",15,341
best,15,342
"and,",15,343
"""yes,",15,344
"water,",15,345
laughed,15,346
green,14,347
done,14,348
"away,",14,349
grey,14,350
alligator,14,351
young,14,352
couldn't,14,353
really,14,354
courtiers,14,355
mighty,14,356
hen,14,357
morning,14,358
liked,14,359
ground,14,360
bag,14,361
margaret,14,362
same,14,363
can't,14,364
wait,14,365
jackal.,14,366
seemed,14,367
jack,14,368
full,14,369
"her,",14,370
"""if",13,371
read,13,372
child,13,373
"on,",13,374
"night,",13,375
does,13,376
half-chick,13,377
ground.,13,378
carry,13,379
woman,13,380
loved,13,381
across,13,382
world,13,383
kill,13,384
lay,13,385
show,13,386
"me!""",13,387
suddenly,13,388
open,13,389
fairy,13,390
margery's,13,391
castle,13,392
"so,",13,393
few,13,394
statue,13,395
worked,13,396
behind,13,397
wish,12,398
pull,12,399
land,12,400
brahmin,12,401
there.,12,402
"""i'll",12,403
says,12,404
louisa,12,405
christmas,12,406
drove,12,407
able,12,408
happened,12,409
named,12,410
servants,12,411
"king,",12,412
hole,12,413
heart,12,414
mr,12,415
"hoppity-kick,",12,416
"head,",12,417
toward,12,418
except,12,419
stone,12,420
life,12,421
wee,12,422
rid,12,423
elsa,12,424
wicked,12,425
dark,12,426
strange,12,427
"too,",12,428
nice,12,429
rolled,12,430
save,12,431
shut,12,432
girl,12,433
palace,12,434
"came,",11,435
rest,11,436
brown,11,437
early,11,438
sound,11,439
himself.,11,440
straight,11,441
looking,11,442
"""how",11,443
baby,11,444
shone,11,445
man's,11,446
high,11,447
lovely,11,448
everybody,11,449
shoemaker,11,450
jumped,11,451
bad,11,452
looks,11,453
since,11,454
stories,11,455
"boy,",11,456
taken,11,457
flew,11,458
love,11,459
hidden,11,460
sang,11,461
tortoise,11,462
seen,11,463
"father,",11,464
emperor's,11,465
"now,",11,466
clock,11,467
"you,""",11,468
"thought,",11,469
"by,",11,470
her.,11,471
grow,11,472
me.,11,473
fair,11,474
roll,10,475
thin,10,476
corn,10,477
"little,",10,478
sure,10,479
artist,10,480
dagda,10,481
ate,10,482
often,10,483
rollaround,10,484
epaminondas,10,485
thy,10,486
days,10,487
"dear,",10,488
ten,10,489
minute,10,490
was.,10,491
started,10,492
threw,10,493
nobody,10,494
filled,10,495
being,10,496
bread,10,497
cow,10,498
piece,10,499
gone,10,500
between,10,501
sitting,10,502
"say,",10,503
wise,10,504
trundle-bed,10,505
"off,",10,506
shoes,10,507
"still,",10,508
ask,10,509
"house,",10,510
bright,10,511
light,10,512
money,10,513
didn't,10,514
flowers,10,515
soul,10,516
thou,10,517
camel,10,518
sicily,10,519
"lion,",10,520
harp,10,521
drew,10,522
house.,10,523
"jackal,",10,524
"work,",10,525
half,10,526
tailor.,10,527
royal,10,528
all.,10,529
tail,10,530
river,10,531
caught,10,532
bring,10,533
heavenly,10,534
"know,",9,535
grown,9,536
bought,9,537
begged,9,538
soft,9,539
why,9,540
carefully,9,541
play,9,542
"friend,",9,543
"long,",9,544
"more,",9,545
beside,9,546
sometimes,9,547
"fox,",9,548
"eyes,",9,549
saved,9,550
"tree,",9,551
hands,9,552
"woman,",9,553
fairies,9,554
wrote,9,555
exactly,9,556
sun,9,557
paw,9,558
day.,9,559
gottlieb,9,560
bed,9,561
sprang,9,562
sit,9,563
held,9,564
boat,9,565
elephant,9,566
born,9,567
mountain,9,568
thinking,9,569
part,9,570
"morning,",9,571
magic,9,572
"himself,",9,573
moon,9,574
stopped,9,575
ready,9,576
stay,9,577
room,9,578
"way,",9,579
given,9,580
"door,",9,581
real,9,582
"""do",9,583
rain,9,584
stole,9,585
plough,9,586
bit,9,587
top,9,588
presently,9,589
say,9,590
"""no,",9,591
"about,",9,592
touched,9,593
christ,9,594
friend,9,595
walked,9,596
middle,9,597
"course,",9,598
midst,9,599
snow,9,600
among,8,601
beat,8,602
remember,8,603
"king!""",8,604
"cage?""",8,605
crabs,8,606
times,8,607
tied,8,608
coming,8,609
remembered,8,610
people.,8,611
shiny,8,612
art,8,613
"horse,",8,614
margery.,8,615
low,8,616
grass,8,617
wonder,8,618
"well,",8,619
rose,8,620
running,8,621
"air,",8,622
tears,8,623
whale,8,624
"""my",8,625
roared,8,626
sea,8,627
yellow,8,628
begin,8,629
"nightingale,",8,630
grind,8,631
"cow,",8,632
fight,8,633
ould,8,634
perhaps,8,635
pushed,8,636
bade,8,637
bowed,8,638
around,8,639
"""it's",8,640
plant,8,641
surely,8,642
"trees,",8,643
ye,8,644
"it.""",8,645
"""he",8,646
pulled,8,647
above,8,648
evening,8,649
fields,8,650
angel,8,651
"earth,",8,652
outside,8,653
mouse.,8,654
"""little",8,655
cloud,8,656
sad,8,657
tired,8,658
talk,8,659
"me,""",8,660
fox.,8,661
"david,",8,662
death,8,663
"margery,",8,664
said;,8,665
"mammy,""",8,666
else,8,667
women,8,668
lying,8,669
salt,8,670
brahmin.,8,671
shook,8,672
"""they",7,673
deal,7,674
"bed,",7,675
making,7,676
up.,7,677
"once,",7,678
before.,7,679
him;,7,680
father.,7,681
raised,7,682
"""now",7,683
yet,7,684
"""there",7,685
words,7,686
i'm,7,687
elves,7,688
wore,7,689
"""i'm",7,690
time.,7,691
lord,7,692
"over,",7,693
sons,7,694
seeds,7,695
"ran,",7,696
"voice,",7,697
"epaminondas,",7,698
slowly,7,699
foolish,7,700
"""why",7,701
stones,7,702
"back,",7,703
alligator!,7,704
spoke,7,705
garden.,7,706
"one,",7,707
rope,7,708
"""this",7,709
"""not",7,710
"them.""",7,711
"life,",7,712
frode,7,713
farmer,7,714
wid,7,715
"tiger,",7,716
wild,7,717
stuck,7,718
fear,7,719
doing,7,720
"oh,",7,721
gone.,7,722
"""when",7,723
acorn,7,724
god.,7,725
song,7,726
in.,7,727
anyone,7,728
"courtiers,",7,729
danced,7,730
funny,7,731
zelia,7,732
crown,7,733
about.,7,734
"girl,",7,735
side,7,736
glad,7,737
saul,7,738
"went,",7,739
wearing,7,740
"another,",7,741
book,7,742
safely,7,743
free,7,744
"""god",7,745
ring,7,746
"world,",7,747
indeed,7,748
whom,7,749
philistine,7,750
life.,7,751
"leaves,",7,752
girls,7,753
fly,7,754
