Word,Freq,Rank
the,659,1
he,650,2
and,512,3
to,416,4
of,337,5
that,287,6
a,283,7
was,257,8
it,227,9
had,210,10
buster,209,11
little,203,12
his,183,13
as,163,14
in,161,15
is,138,16
so,108,17
all,108,18
bear,107,19
for,101,20
at,100,21
farmer,99,22
but,97,23
brown's,97,24
one,95,25
joe,93,26
you,90,27
green,87,28
i,82,29
very,82,30
when,80,31
just,79,32
they,79,33
on,79,34
boy,79,35
if,71,36
then,70,37
there,69,38
him,65,39
what,63,40
with,63,41
be,61,42
up,58,43
out,58,44
didn't,55,45
see,53,46
have,52,47
who,49,48
said,48,49
could,47,50
great,47,51
blacky,46,52
would,45,53
no,45,54
big,44,55
from,44,56
old,42,57
this,41,58
were,41,59
down,41,60
been,40,61
some,40,62
looked,39,63
know,39,64
or,38,65
billy,38,66
sammy,37,67
about,36,68
more,35,69
time,35,70
where,35,71
it.,35,72
than,34,73
now,34,74
laughing,34,75
how,33,76
get,33,77
forest,32,78
afraid,32,79
right,32,80
fish,31,81
them,30,82
way,29,83
are,29,84
otter,29,85
pail,28,86
away,28,87
over,28,88
make,27,89
by,27,90
couldn't,27,91
"""i",27,92
any,26,93
trout,26,94
sure,25,95
do,25,96
berries,25,97
other,25,98
made,25,99
even,25,100
thought,24,101
come,24,102
has,24,103
frightened,24,104
thing,24,105
too,23,106
those,23,107
went,23,108
never,23,109
smiling,23,110
can,22,111
people,22,112
back,22,113
chatterer,22,114
saw,22,115
grandfather,22,116
came,21,117
think,21,118
into,21,119
until,21,120
pool,21,121
did,21,122
much,21,123
"him,",21,124
not,20,125
knew,20,126
else,20,127
"forest,",20,128
everybody,20,129
heard,20,130
go,19,131
something,19,132
which,19,133
such,19,134
bear.,19,135
will,19,136
mr.,18,137
eyes,18,138
off,18,139
ever,18,140
believe,18,141
him.,18,142
started,18,143
"see,",18,144
began,17,145
tell,17,146
my,17,147
first,17,148
next,17,149
because,17,150
fat,17,151
behind,17,152
long,16,153
keep,16,154
bad,16,155
going,16,156
eat,16,157
got,16,158
enough,16,159
head,16,160
me,16,161
once,16,162
caught,16,163
he.,15,164
wasn't,15,165
"pool,",15,166
fishing,15,167
brook,15,168
catch,15,169
felt,15,170
reddy,15,171
most,15,172
i'll,15,173
mink,15,174
through,15,175
must,14,176
found,14,177
crow,14,178
like,14,179
forest.,14,180
isn't,14,181
same,14,182
himself.,14,183
don't,14,184
pasture,13,185
things,13,186
find,13,187
looking,13,188
seen,13,189
jay,13,190
still,13,191
run,13,192
might,13,193
them.,13,194
sat,13,195
peter,13,196
"bear,",13,197
told,13,198
should,13,199
only,13,200
kept,13,201
red,13,202
himself,13,203
place,12,204
want,12,205
seemed,12,206
good,12,207
before,12,208
another,12,209
top,12,210
tree,12,211
"brook,",12,212
we,12,213
always,12,214
"is,",12,215
nothing,12,216
take,12,217
