Word,Freq,Rank
and,627,1
the,578,2
i,508,3
to,446,4
of,351,5
you,335,6
that,271,7
a,258,8
is,240,9
not,225,10
in,220,11
my,209,12
he,171,13
it,170,14
for,167,15
his,155,16
bru.,153,17
your,149,18
with,147,19
haue,144,20
this,140,21
be,140,22
will,140,23
but,138,24
me,132,25
as,129,26
shall,125,27
what,114,28
thou,110,29
do,108,30
cassi.,107,31
are,106,32
so,106,33
caesar,103,34
him,100,35
we,95,36
by,94,37
our,93,38
then,89,39
brutus,89,40
all,86,41
if,84,42
no,81,43
did,70,44
o,66,45
on,66,46
when,66,47
they,65,48
good,65,49
let,64,50
come,62,51
was,62,52
their,61,53
enter,57,54
at,57,55
thy,56,56
am,55,57
know,55,58
"brutus,",52,59
"caesar,",51,60
from,49,61
now,49,62
ant.,48,63
vs,47,64
vpon,46,65
would,44,66
or,44,67
which,42,68
why,41,69
some,41,70
there,41,71
heere,41,72
cassius,39,73
cask.,38,74
them,38,75
should,38,76
these,37,77
antony,37,78
brut.,37,79
such,37,80
caesars,37,81
must,36,82
like,36,83
noble,35,84
thee,35,85
go,35,86
were,35,87
hath,35,88
tell,35,89
men,35,90
giue,35,91
may,34,92
yet,34,93
"him,",34,94
heare,33,95
man,32,96
how,32,97
well,31,98
an,31,99
see,31,100
where,31,101
"me,",30,102
one,29,103
"cassius,",29,104
stand,29,105
who,28,106
most,28,107
euery,28,108
caes,28,109
luc.,28,110
had,27,111
doth,27,112
loue,26,113
vp,26,114
more,26,115
speake,26,116
make,25,117
"antony,",25,118
great,25,119
"you,",25,120
nor,24,121
any,24,122
much,23,123
too,23,124
'tis,22,125
lord,22,126
art,22,127
exeunt.,22,128
selfe,22,129
take,22,130
cas.,21,131
"men,",21,132
beare,21,133
till,21,134
day,21,135
out,21,136
mine,20,137
looke,20,138
thinke,20,139
marke,20,140
can,19,141
"i,",19,142
"sir,",19,143
messa.,19,144
octa.,18,145
feare,18,146
rome,17,147
could,17,148
leaue,17,149
hand,17,150
say,17,151
"caska,",17,152
bid,17,153
time,17,154
"rome,",17,155
put,16,156
"say,",16,157
por.,16,158
about,16,159
finde,16,160
euen,16,161
neuer,15,162
"man,",15,163
stay,15,164
off,15,165
many,15,166
"not,",15,167
"will,",15,168
night,15,169
death,15,170
wee'l,15,171
heart,15,172
comes,15,173
into,14,174
done,14,175
caesar.,14,176
"octauius,",14,177
all.,14,178
word,14,179
caesar:,14,180
you:,14,181
"this,",14,182
downe,14,183
him:,14,184
doe,14,185
vnto,13,186
mark,13,187
ile,13,188
"night,",13,189
hast,13,190
thus,13,191
made,13,192
things,13,193
wrong,13,194
cinna.,13,195
"then,",13,196
blood,13,197
"friends,",13,198
romans,13,199
"messala,",12,200
"thee,",12,201
bad,12,202
best,12,203
very,12,204
set,12,205
honourable,12,206
exit,12,207
therefore,12,208
morrow,12,209
"day,",12,210
true,11,211
brutus.,11,212
"selfe,",11,213
"lucius,",11,214
follow,11,215
1.,11,216
might,11,217
hee,11,218
name,11,219
send,11,220
other,11,221
shew,11,222
caius,11,223
get,11,224
hold,11,225
euer,11,226
"gods,",11,227
ser.,11,228
"so,",11,229
caes.,11,230
"know,",10,231
spirit,10,232
run,10,233
people,10,234
master,10,235
philippi,10,236
"friend,",10,237
mighty,10,238
two,10,239
meete,10,240
place,10,241
2.,10,242
before,10,243
titinius,10,244
keepe,10,245
after,10,246
"lord,",10,247
farewell,10,248
else,10,249
beares,10,250
cass.,10,251
bring,10,252
thing,10,253
meane,9,254
dye,9,255
peace,9,256
4.,9,257
better,9,258
gentle,9,259
"death,",9,260
sure,9,261
sooth.,9,262
those,9,263
vnder,9,264
liue,9,265
owne,9,266
"come,",9,267
"againe,",9,268
onely,9,269
"that,",9,270
gods,9,271
roman,9,272
march,9,273
full,9,274
capitoll,9,275
fell,9,276
cry,9,277
so:,9,278
nothing,9,279
"now,",9,280
"them,",9,281
"no,",9,282
being,9,283
fire,9,284
friend,9,285
directly,9,286
common,9,287
it.,9,288
face,9,289
"feare,",8,290
against,8,291
me:,8,292
"peace,",8,293
first,8,294
way,8,295
him.,8,296
rather,8,297
poore,8,298
words,8,299
turne,8,300
friends,8,301
"titinius,",8,302
none,8,303
please,8,304
it:,8,305
"hand,",8,306
octauius,8,307
you?,8,308
strange,8,309
"well,",8,310
"dead,",8,311
"fire,",8,312
bloody,8,313
"speake,",8,314
metellus,8,315
answer,8,316
decius,8,317
"heere,",8,318
"part,",8,319
brother,8,320
3.,8,321
them.,8,322
forth,8,323
yong,8,324
three,7,325
she,7,326
"it,",7,327
himselfe,7,328
"once,",7,329
meanes,7,330
cause,7,331
strong,7,332
home,7,333
antony:,7,334
me?,7,335
"boy,",7,336
beene,7,337
sicke,7,338
let's,7,339
messala,7,340
welcome,7,341
saw,7,342
seene,7,343
away,7,344
stirre,7,345
fall,7,346
honor,7,347
heard,7,348
"what,",7,349
eyes,7,350
so?,7,351
"cause,",7,352
hearts,7,353
ill,7,354
cin.,7,355
body,7,356
hands,7,357
sword,7,358
"cato,",7,359
2,7,360
old,7,361
worthy,7,362
walke,7,363
read,7,364
"looke,",7,365
"hands,",7,366
did'st,7,367
"yet,",7,368
durst,7,369
3,7,370
"lucillius,",7,371
me.,7,372
her,7,373
pindarus,6,374
portia,6,375
kill,6,376
lucil.,6,377
part,6,378
publius,6,379
alarum.,6,380
tongue,6,381
fit,6,382
remember,6,383
&,6,384
fetch,6,385
seruant.,6,386
lye,6,387
though,6,388
ye,6,389
4,6,390
since,6,391
hide,6,392
"on,",6,393
pompeyes,6,394
lord?,6,395
"vs,",6,396
loues,6,397
this:,6,398
right,6,399
crowne,6,400
leade,6,401
"eyes,",6,402
ere,6,403
"sayes,",6,404
vile,6,405
"be,",6,406
enter.,6,407
there's,6,408
ouer,6,409
dead,6,410
man.,6,411
generall,6,412
"strato,",6,413
"true,",6,414
lucillius,6,415
deci.,6,416
pardon,6,417
"downe,",6,418
clit.,6,419
lucius.,6,420
last,6,421
call,6,422
"world,",6,423
cassius:,6,424
house,6,425
within,6,426
came,6,427
