Word,Freq,Rank
the,645,1
and,544,2
to,383,3
of,337,4
i,314,5
a,238,6
that,220,7
my,201,8
in,195,9
is,175,10
you,166,11
with,152,12
not,145,13
his,143,14
macb.,137,15
it,134,16
be,132,17
your,126,18
our,123,19
but,120,20
haue,119,21
for,107,22
he,107,23
what,100,24
this,95,25
as,85,26
thou,85,27
we,82,28
which,78,29
so,78,30
me,74,31
enter,74,32
all,73,33
will,69,34
they,68,35
shall,67,36
are,65,37
no,63,38
their,62,39
vpon,58,40
macd.,58,41
then,57,42
from,56,43
him,56,44
thy,56,45
yet,52,46
hath,52,47
on,51,48
at,49,49
by,47,50
would,45,51
was,44,52
thee,43,53
vs,42,54
good,42,55
if,42,56
lady.,41,57
who,40,58
rosse.,40,59
now,40,60
should,40,61
when,39,62
were,38,63
do,38,64
make,38,65
did,38,66
like,37,67
more,37,68
or,37,69
must,36,70
come,36,71
her,36,72
'tis,35,73
ile,35,74
let,35,75
where,34,76
had,32,77
how,32,78
why,31,79
great,30,80
doe,30,81
am,29,82
may,29,83
there,29,84
exeunt.,29,85
an,28,86
them,26,87
macbeth,26,88
th',26,89
know,26,90
one,25,91
mal.,25,92
see,25,93
can,24,94
those,24,95
banq.,24,96
such,24,97
giue,24,98
nor,24,99
"macbeth,",24,100
most,22,101
these,22,102
scena,22,103
say,22,104
1.,21,105
things,21,106
"me,",21,107
looke,21,108
la.,21,109
time,21,110
lenox.,20,111
mine,20,112
doct.,20,113
till,20,114
vp,20,115
cannot,20,116
speake,20,117
done,19,118
wife.,19,119
"time,",19,120
too,19,121
thane,19,122
"king,",18,123
heare,18,124
king.,18,125
"sir,",18,126
"him,",18,127
she,17,128
&,17,129
though,17,130
some,17,131
night,17,132
"lord,",17,133
take,17,134
put,16,135
man,16,136
do's,16,137
"well,",16,138
out,16,139
all.,16,140
euery,16,141
feare,16,142
"come,",15,143
ere,15,144
poore,15,145
malc.,15,146
i'th',15,147
owne,15,148
selfe,15,149
king,15,150
worthy,15,151
heere,15,152
ha's,15,153
both,15,154
against,14,155
could,14,156
there's,14,157
shew,14,158
before,14,159
son.,14,160
"i,",14,161
3.,14,162
whose,14,163
"you,",14,164
each,13,165
three,13,166
"it,",13,167
"say,",13,168
well,13,169
o,13,170
haile,13,171
heart,13,172
o'th',13,173
"banquo,",13,174
strange,13,175
sey.,13,176
banquo,13,177
bloody,13,178
without,13,179
pray,13,180
blood,13,181
into,12,182
keepe,12,183
neuer,12,184
what's,12,185
new,12,186
goe,12,187
noble,12,188
god,12,189
nothing,12,190
made,12,191
2.,12,192
exit,12,193
nature,12,194
way,11,195
still,11,196
day,11,197
1,11,198
much,11,199
leaue,11,200
art,11,201
very,11,202
"not,",11,203
sleepe,11,204
dare,11,205
"them,",11,206
finde,11,207
gent.,11,208
comes,11,209
heauen,10,210
go,10,211
name,10,212
else,10,213
mac.,10,214
whom,10,215
thinke,10,216
againe,10,217
lord,10,218
euen,10,219
stand,10,220
"feare,",9,221
wood,9,222
first,9,223
get,9,224
that's,9,225
loue,9,226
macbeth.,9,227
beene,9,228
life,9,229
thus,9,230
many,9,231
two,9,232
knock.,9,233
onely,9,234
about,9,235
thought,9,236
tell,9,237
full,9,238
royall,9,239
you:,9,240
within,9,241
being,9,242
borne,9,243
here,9,244
me.,9,245
bring,9,246
you.,8,247
"selfe,",8,248
"thee,",8,249
is't,8,250
any,8,251
"lenox,",8,252
other,8,253
thoughts,8,254
"night,",8,255
"sleepe,",8,256
