Word,Freq,Rank
the,3304,1
to,2746,2
and,2716,3
of,2528,4
a,1574,5
in,1353,6
was,1277,7
had,1164,8
she,1114,9
her,1012,10
i,986,11
be,919,12
he,915,13
not,891,14
that,829,15
it,813,16
as,804,17
for,674,18
his,648,19
with,620,20
but,612,21
have,580,22
at,529,23
you,487,24
been,484,25
all,475,26
could,434,27
very,425,28
they,424,29
were,416,30
by,410,31
which,394,32
is,374,33
on,370,34
would,341,35
so,323,36
anne,298,37
captain,297,38
no,296,39
their,292,40
from,289,41
mrs,289,42
or,270,43
him,267,44
mr,246,45
than,243,46
an,243,47
more,239,48
there,234,49
must,221,50
when,221,51
being,216,52
one,212,53
this,210,54
only,209,55
my,209,56
such,208,57
lady,200,58
any,196,59
if,193,60
much,190,61
what,184,62
should,181,63
who,178,64
little,166,65
might,160,66
do,158,67
them,153,68
will,150,69
never,149,70
good,145,71
we,143,72
own,141,73
said,137,74
sir,137,75
are,135,76
think,133,77
did,133,78
some,132,79
elliot,125,80
great,122,81
your,122,82
am,121,83
most,118,84
miss,118,85
nothing,115,86
"""i",114,87
see,113,88
how,113,89
though,111,90
quite,110,91
always,109,92
charles,107,93
without,106,94
soon,105,95
wentworth,104,96
other,103,97
every,101,98
"anne,",100,99
now,100,100
first,100,101
me,99,102
has,98,103
two,97,104
can,97,105
into,95,106
too,95,107
time,94,108
made,94,109
after,94,110
herself,92,111
seemed,91,112
having,87,113
well,86,114
make,86,115
may,86,116
out,85,117
about,85,118
know,84,119
"her,",82,120
before,82,121
"him,",81,122
thought,81,123
many,80,124
young,79,125
walter,78,126
"it,",77,127
father,76,128
same,76,129
felt,76,130
like,74,131
long,74,132
russell,73,133
better,73,134
its,72,135
up,71,136
found,71,137
those,71,138
even,71,139
ever,69,140
give,69,141
"elliot,",68,142
her.,68,143
last,68,144
mary,67,145
it.,66,146
while,65,147
musgrove,65,148
go,65,149
still,65,150
upon,65,151
man,63,152
just,63,153
"however,",62,154
louisa,62,155
our,60,156
him.,60,157
almost,59,158
came,59,159
half,59,160
few,59,161
rather,58,162
going,57,163
something,57,164
wish,56,165
come,56,166
knew,55,167
house,55,168
between,55,169
enough,54,170
heard,54,171
"wentworth,",54,172
himself,54,173
feelings,53,174
over,53,175
shall,53,176
down,53,177
elizabeth,52,178
another,52,179
back,52,180
seen,51,181
"you,",51,182
again,51,183
present,50,184
take,49,185
till,49,186
anne's,49,187
done,48,188
them.,48,189
kellynch,48,190
saw,48,191
these,47,192
say,47,193
hope,47,194
poor,46,195
years,46,196
left,45,197
"them,",45,198
"was,",45,199
admiral,45,200
cried,44,201
bath,44,202
way,44,203
friend,44,204
known,44,205
where,44,206
sure,44,207
here,43,208
happy,43,209
look,43,210
then,43,211
under,42,212
really,42,213
cannot,42,214
leave,42,215
old,41,216
off,41,217
anything,41,218
henrietta,41,219
"again,",41,220
yet,41,221
perfectly,40,222
hardly,40,223
among,39,224
feel,39,225
ought,39,226
"mary,",39,227
deal,39,228
away,39,229
home,39,230
party,39,231
near,39,232
each,39,233
everything,38,234
does,38,235
family,38,236
"herself,",38,237
nor,38,238
looked,38,239
day,38,240
dear,37,241
since,37,242
place,37,243
"and,",37,244
believe,37,245
certainly,36,246
best,36,247
whole,36,248
part,36,249
harville,36,250
sort,36,251
get,35,252
elliot's,35,253
seeing,35,254
hear,35,255
next,35,256
clay,35,257
gone,34,258
uppercross,34,259
three,34,260
moment,34,261
whom,34,262
benwick,34,263
both,33,264
mind,33,265
either,33,266
"charles,",33,267
"time,",33,268
brought,32,269
towards,32,270
received,32,271
visit,32,272
tell,32,273
"man,",32,274
"""oh!",32,275
glad,32,276
woman,31,277
"musgrove,",31,278
her;,31,279
once,31,280
"say,",31,281
whether,30,282
pleasure,30,283
set,30,284
far,30,285
able,30,286
"smith,",30,287
him;,30,288
sister,30,289
"russell,",30,290
put,30,291
evening,30,292
interest,30,293
began,30,294
given,30,295
course,30,296
"perhaps,",29,297
least,29,298
fine,29,299
russell's,29,300
people,29,301
passed,29,302
gave,29,303
talked,29,304
it;,29,305
camden,29,306
acquaintance,29,307
general,29,308
coming,29,309
called,29,310
love,28,311
"""you",28,312
obliged,28,313
strong,28,314
through,28,315
full,28,316
idea,28,317
thing,28,318
determined,28,319
right,28,320
former,28,321
want,28,322
room,28,323
"indeed,",28,324
looking,27,325
walked,27,326
"place,",27,327
"me,",27,328
"""but",26,329
wentworth's,26,330
went,26,331
"home,",26,332
state,26,333
"""and",26,334
against,26,335
replied,26,336
"walter,",26,337
thinking,26,338
letter,26,339
"all,",26,340
manner,26,341
heart,26,342
you.,26,343
me.,26,344
let,25,345
spirits,25,346
neither,25,347
us,25,348
assure,25,349
"know,",25,350
lyme,25,351
again.,25,352
wanted,25,353
agreeable,25,354
eyes,25,355
change,25,356
often,24,357
beginning,24,358
"now,",24,359
met,24,360
because,24,361
character,24,362
short,24,363
side,24,364
possible,24,365
others,24,366
new,24,367
name,24,368
worth,24,369
elliot.,24,370
told,24,371
"house,",24,372
morning,24,373
"well,",24,374
end,24,375
chapter,24,376
"he,",24,377
"bath,",23,378
account,23,379
taking,23,380
less,23,381
considered,23,382
"too,",23,383
company,23,384
"louisa,",23,385
taken,23,386
likely,23,387
hayter,23,388
wished,23,389
object,23,390
making,23,391
walk,22,392
real,22,393
"uppercross,",22,394
"""it",22,395
return,22,396
sensible,22,397
pretty,22,398
"there,",22,399
understand,22,400
immediately,22,401
bad,22,402
"sister,",22,403
acquainted,22,404
"morning,",22,405
talk,22,406
"family,",22,407
"together,",22,408
use,22,409
spoke,22,410
whose,21,411
"mind,",21,412
musgroves,21,413
got,21,414
colonel,21,415
smith,21,416
turned,21,417
"room,",21,418
"friend,",21,419
feeling,21,420
"acquaintance,",21,421
marry,21,422
excellent,21,423
croft,21,424
"himself,",20,425
spoken,20,426
need,20,427
different,20,428
appearance,20,429
usual,20,430
"life,",20,431
help,20,432
father's,20,433
asked,20,434
"harville,",20,435
"said,",20,436
"no,",20,437
crofts,20,438
find,20,439
high,20,440
forward,20,441
manners,20,442
early,20,443
meet,20,444
themselves,19,445
bear,19,446
"""that",19,447
speak,19,448
doing,19,449
person,19,450
giving,19,451
anne.,19,452
point,19,453
walking,19,454
call,19,455
talking,19,456
knowledge,19,457
"therefore,",19,458
regard,19,459
year,19,460
"short,",19,461
"elizabeth,",19,462
"lyme,",19,463
consequence,19,464
mean,19,465
men,19,466
happiness,18,467
"henrietta,",18,468
beyond,18,469
mother,18,470
degree,18,471
finding,18,472
"away,",18,473
used,18,474
"be,",18,475
sight,18,476
herself.,18,477
bath.,18,478
advantage,18,479
particularly,18,480
attention,18,481
sorry,18,482
took,18,483
life,18,484
within,18,485
living,18,486
longer,18,487
head,17,488
surprise,17,489
influence,17,490
satisfied,17,491
"but,",17,492
musgrove's,17,493
"that,",17,494
disposed,17,495
generally,17,496
wentworth.,17,497
worse,17,498
"sure,",17,499
"other,",17,500
"""the",17,501
dalrymple,17,502
walter's,17,503
reason,17,504
hours,17,505
away.,17,506
"woman,",17,507
minutes,17,508
face,17,509
hour,17,510
friends,17,511
equal,16,512
suppose,16,513
"""a",16,514
things,16,515
"over,",16,516
else,16,517
"moment,",16,518
days,16,519
word,16,520
shepherd,16,521
"which,",16,522
"then,",16,523
value,16,524
nobody,16,525
mary's,16,526
pleased,16,527
doubt,16,528
means,16,529
rest,16,530
sometimes,16,531
"musgroves,",16,532
large,16,533
extremely,16,534
decided,16,535
"so,",16,536
perfect,16,537
ladies,16,538
answer,16,539
second,16,540
lived,16,541
anxious,16,542
concert,16,543
small,16,544
conversation,16,545
wife,16,546
kept,16,547
ill,15,548
lost,15,549
"croft,",15,550
sense,15,551
perhaps,15,552
women,15,553
"""he",15,554
lyme.,15,555
natural,15,556
warm,15,557
nearly,15,558
"""yes,",15,559
"side,",15,560
eye,15,561
delighted,15,562
turn,15,563
meant,15,564
"on,",15,565
understood,15,566
attending,15,567
"benwick,",15,568
"once,",15,569
trying,15,570
"others,",15,571
meeting,15,572
circumstance,15,573
"afterwards,",15,574
care,15,575
afterwards,15,576
wallis,15,577
believed,15,578
"not,",15,579
"this,",15,580
why,15,581
drew,15,582
nature,15,583
anybody,15,584
attachment,15,585
"had,",15,586
taste,15,587
smallest,15,588
engagement,15,589
seem,14,590
waiting,14,591
"themselves,",14,592
getting,14,593
saying,14,594
engaged,14,595
ready,14,596
reached,14,597
sent,14,598
brother,14,599
exactly,14,600
"""no,",14,601
"yet,",14,602
matter,14,603
"country,",14,604
children,14,605
handsome,14,606
world,14,607
completely,14,608
allowed,14,609
imagine,14,610
"admiral,",14,611
proper,14,612
"she,",14,613
settled,14,614
keep,14,615
"of,",14,616
caught,14,617
sit,14,618
opinion,14,619
