Word,Freq,Rank
the,4073,1
to,4050,2
of,3540,3
and,3283,4
her,2230,5
a,2035,6
in,1899,7
was,1784,8
i,1673,9
she,1504,10
it,1273,11
that,1239,12
be,1237,13
as,1195,14
for,1191,15
not,1188,16
his,1002,17
he,994,18
had,984,19
with,968,20
you,883,21
at,813,22
have,801,23
by,734,24
but,722,25
is,676,26
on,663,27
my,588,28
so,580,29
could,555,30
which,553,31
all,545,32
from,529,33
mrs.,521,34
would,506,35
they,499,36
their,496,37
very,491,38
no,483,39
him,432,40
been,426,41
were,424,42
what,393,43
any,385,44
every,374,45
this,362,46
than,359,47
your,358,48
more,357,49
elinor,349,50
such,347,51
or,343,52
said,342,53
an,340,54
will,336,55
them,304,56
when,285,57
only,283,58
must,279,59
one,262,60
me,261,61
if,260,62
much,258,63
marianne,253,64
do,246,65
who,238,66
should,233,67
am,229,68
"""i",229,69
own,227,70
are,219,71
some,209,72
might,209,73
though,206,74
miss,206,75
has,202,76
did,202,77
"elinor,",199,78
after,199,79
can,190,80
think,189,81
how,189,82
we,188,83
never,184,84
know,172,85
without,170,86
now,169,87
there,169,88
mr.,168,89
may,167,90
"marianne,",165,91
soon,163,92
being,163,93
see,159,94
time,155,95
nothing,154,96
most,154,97
"her,",153,98
before,149,99
thing,142,100
first,141,101
"it,",141,102
colonel,141,103
great,139,104
too,138,105
about,136,106
make,136,107
little,136,108
out,135,109
edward,134,110
its,133,111
made,133,112
two,131,113
ever,129,114
other,129,115
it.,126,116
herself,126,117
good,123,118
dashwood,123,119
lady,122,120
well,121,121
always,121,122
give,120,123
shall,119,124
even,117,125
mother,114,126
into,113,127
sir,112,128
say,111,129
then,110,130
jennings,108,131
sister,107,132
john,105,133
"however,",103,134
sure,100,135
thought,100,136
saw,98,137
left,97,138
young,97,139
"him,",96,140
still,96,141
while,96,142
many,95,143
felt,92,144
up,91,145
quite,91,146
seemed,90,147
"you,",88,148
willoughby,88,149
same,87,150
less,87,151
lucy,87,152
go,85,153
upon,85,154
over,84,155
came,84,156
cannot,84,157
till,83,158
enough,83,159
long,83,160
almost,82,161
tell,81,162
really,81,163
last,81,164
nor,80,165
"herself,",79,166
day,79,167
heart,78,168
few,78,169
"""you",76,170
where,76,171
"jennings,",74,172
like,73,173
"them,",73,174
"me,",72,175
away,72,176
heard,71,177
dear,70,178
rather,70,179
our,70,180
come,70,181
cried,70,182
her.,70,183
gave,70,184
brandon,69,185
house,69,186
mind,68,187
between,68,188
man,68,189
again,67,190
found,65,191
towards,65,192
just,65,193
kind,65,194
against,65,195
far,65,196
yet,65,197
both,64,198
middleton,64,199
hardly,64,200
told,63,201
something,62,202
"""and",62,203
down,62,204
"dashwood,",62,205
marianne's,61,206
whom,61,207
wish,61,208
replied,61,209
"willoughby,",61,210
hope,61,211
looked,61,212
better,60,213
happy,60,214
hear,60,215
these,59,216
knew,59,217
whole,59,218
moment,59,219
"sister,",59,220
within,58,221
therefore,58,222
ferrars,58,223
affection,58,224
elinor's,57,225
believe,57,226
present,57,227
us,57,228
look,57,229
because,56,230
"lucy,",56,231
three,56,232
since,56,233
immediately,56,234
once,56,235
least,55,236
brought,55,237
them.,55,238
feel,55,239
myself,55,240
find,54,241
"time,",54,242
each,54,243
having,54,244
letter,54,245
him.,53,246
half,53,247
leave,53,248
poor,53,249
"""but",52,250
seen,52,251
"mother,",52,252
under,51,253
"and,",51,254
going,51,255
took,51,256
wished,51,257
does,50,258
another,50,259
chapter,50,260
love,50,261
morning,50,262
feelings,49,263
done,49,264
pleasure,49,265
next,49,266
certainly,49,267
himself,49,268
"""that",48,269
sister's,48,270
whose,48,271
reason,48,272
often,47,273
barton,47,274
"""it",47,275
behaviour,47,276
general,47,277
perhaps,46,278
person,46,279
end,46,280
given,46,281
thousand,46,282
"all,",46,283
family,46,284
eyes,45,285
beyond,45,286
"house,",45,287
those,45,288
able,45,289
way,45,290
place,45,291
went,44,292
known,44,293
"he,",44,294
comfort,44,295
visit,44,296
mother's,44,297
neither,43,298
put,43,299
returned,43,300
speak,43,301
take,43,302
"edward,",43,303
glad,43,304
perfectly,42,305
woman,42,306
opinion,41,307
determined,41,308
whether,40,309
happiness,40,310
edward's,40,311
off,40,312
world,40,313
seeing,40,314
palmer,40,315
room,40,316
equally,40,317
obliged,40,318
however,40,319
people,39,320
acquaintance,39,321
particular,39,322
want,39,323
body,39,324
subject,38,325
called,38,326
it;,38,327
regard,38,328
"she,",38,329
"was,",38,330
short,38,331
interest,37,332
sat,37,333
"himself,",37,334
whatever,37,335
received,37,336
"this,",37,337
rest,37,338
"day,",36,339
through,36,340
continued,36,341
old,36,342
giving,36,343
"that,",36,344
here,36,345
dare,36,346
spirits,35,347
real,35,348
"now,",35,349
entered,35,350
spite,35,351
"therefore,",35,352
ought,35,353
spent,35,354
already,35,355
"say,",35,356
"again,",35,357
situation,35,358
farther,35,359
suppose,34,360
"said,",34,361
"know,",34,362
part,34,363
power,34,364
brother,34,365
talk,34,366
attention,34,367
greater,33,368
passed,33,369
means,33,370
entirely,33,371
"well,",33,372
"which,",32,373
town,32,374
assure,32,375
willoughby's,32,376
four,32,377
manner,32,378
set,32,379
live,32,380
sorry,32,381
longer,32,382
coming,32,383
kindness,32,384
her;,31,385
years,31,386
doubt,31,387
talked,31,388
call,31,389
hours,31,390
object,31,391
engagement,31,392
"indeed,",31,393
possible,31,394
matter,31,395
"room,",31,396
deal,31,397
why,31,398
particularly,31,399
"replied,",30,400
marianne.,30,401
ready,30,402
keep,30,403
sisters,30,404
"brandon,",30,405
name,30,406
ask,30,407
evening,30,408
get,30,409
new,30,410
sister.,30,411
began,30,412
account,30,413
side,29,414
voice,29,415
anxious,29,416
all.,29,417
kept,29,418
me.,29,419
"town,",29,420
together,29,421
either,29,422
"too,",29,423
jennings's,29,424
near,29,425
minutes,29,426
engaged,28,427
greatest,28,428
full,28,429
five,28,430
friend,28,431
instantly,28,432
norland,28,433
settled,28,434
walked,28,435
you.,28,436
days,28,437
others,28,438
herself.,28,439
easily,28,440
fanny,27,441
pleased,27,442
business,27,443
manners,27,444
let,27,445
"""he",27,446
"""no,",27,447
"man,",27,448
return,27,449
wonder,27,450
"""how",26,451
"but,",26,452
different,26,453
elinor.,26,454
"heart,",26,455
likely,26,456
"other,",26,457
got,26,458
"john,",26,459
knowledge,26,460
"there,",26,461
surprise,26,462
remained,26,463
turned,26,464
marriage,26,465
assured,26,466
back,26,467
ladies,26,468
party,26,469
resolved,26,470
friends,26,471
conduct,25,472
taken,25,473
exactly,25,474
common,25,475
cottage,25,476
hearing,25,477
home,25,478
stay,25,479
directly,25,480
open,25,481
lucy's,25,482
"it.""",25,483
"""we",24,484
word,24,485
taking,24,486
acquainted,24,487
"believe,",24,488
satisfaction,24,489
pretty,24,490
"so,",24,491
"barton,",24,492
understand,24,493
change,24,494
else,24,495
wanted,24,496
"home,",24,497
scarcely,24,498
appearance,24,499
"one,",24,500
"street,",24,501
convinced,24,502
opportunity,24,503
"ferrars,",24,504
sometimes,24,505
repeated,24,506
believed,24,507
appeared,24,508
former,24,509
mean,24,510
comfortable,23,511
state,23,512
point,23,513
seems,23,514
allow,23,515
appear,23,516
married,23,517
"friends,",23,518
doing,23,519
invitation,23,520
natural,23,521
forced,23,522
ten,23,523
brandon's,23,524
happened,23,525
round,23,526
declared,23,527
expected,23,528
marry,23,529
"is,",23,530
fear,23,531
suffered,23,532
expect,23,533
saying,22,534
prevent,22,535
certain,22,536
exceedingly,22,537
best,22,538
immediate,22,539
"myself,",22,540
"own,",22,541
yourself,22,542
park,22,543
hour,22,544
"together,",22,545
dashwoods,22,546
fancy,22,547
"brother,",22,548
husband,22,549
"family,",22,550
considered,22,551
proper,22,552
"park,",22,553
merely,22,554
"be,",22,555
week,22,556
"place,",22,557
small,22,558
attachment,22,559
making,22,560
countenance,22,561
sense,21,562
leaving,21,563
"""if",21,564
curiosity,21,565
"""yes,",21,566
tried,21,567
"""oh,",21,568
"""to",21,569
"spirits,",21,570
necessary,21,571
"morning,",21,572
produced,21,573
use,21,574
spoke,21,575
expectation,21,576
"cottage,",21,577
"added,",21,578
formed,21,579
fine,21,580
met,21,581
you;,21,582
reached,21,583
"mind,",21,584
usual,21,585
sake,21,586
"then,",21,587
children,21,588
asked,21,589
"side,",21,590
carriage,21,591
talking,21,592
living,21,593
supposed,21,594
course,21,595
constant,20,596
favourite,20,597
bear,20,598
"before,",20,599
looking,20,600
silent,20,601
"""your",20,602
"""my",20,603
confidence,20,604
equal,20,605
low,20,606
"away,",20,607
"who,",20,608
large,20,609
fixed,20,610
room.,20,611
answer,20,612
"you.""",20,613
care,20,614
conversation,20,615
smallest,20,616
fond,20,617
seem,20,618
painful,20,619
probably,20,620
promise,20,621
pain,20,622
don't,20,623
among,20,624
surprised,20,625
pounds,20,626
anything,20,627
judgment,20,628
robert,20,629
strong,20,630
dashwood's,20,631
serious,20,632
"""what",20,633
answered,20,634
sent,20,635
knowing,20,636
wife,20,637
"subject,",19,638
misery,19,639
"""well,",19,640
late,19,641
hundred,19,642
fortune,19,643
added,19,644
life,19,645
meeting,19,646
early,19,647
impossible,19,648
eager,19,649
months,19,650
house.,19,651
afraid,19,652
sitting,19,653
mother.,19,654
worth,19,655
wishes,19,656
agreeable,19,657
money,19,658
more.,19,659
meet,19,660
elinor;,19,661
satisfied,18,662
consider,18,663
above,18,664
notice,18,665
staying,18,666
unable,18,667
"engagement,",18,668
"voice,",18,669
resolution,18,670
before.,18,671
"dear,",18,672
idea,18,673
become,18,674
second,18,675
afterwards,18,676
"not,",18,677
unfortunate,18,678
gentleman,18,679
attended,18,680
"perhaps,",18,681
"world,",18,682
"""she",18,683
character,18,684
"life,",18,685
eldest,18,686
"""is",18,687
"others,",18,688
"""do",18,689
girl,18,690
used,18,691
arrival,18,692
avoid,18,693
led,17,694
affectionate,17,695
indeed,17,696
day.,17,697
circumstances,17,698
"thing,",17,699
"another,",17,700
"did,",17,701
"do,",17,702
danger,17,703
effect,17,704
son,17,705
do.,17,706
need,17,707
desire,17,708
capable,17,709
allowed,17,710
delighted,17,711
hand,17,712
advantage,17,713
thus,17,714
melancholy,17,715
"short,",17,716
feeling,17,717
share,17,718
chance,17,719
joined,17,720
bring,17,721
favour,17,722
berkeley,17,723
"him.""",17,724
lost,16,725
head,16,726
view,16,727
future,16,728
time.,16,729
harley,16,730
nobody,16,731
"ever,",16,732
necessity,16,733
latter,16,734
thoughts,16,735
meant,16,736
margaret,16,737
otherwise,16,738
earnest,16,739
style,16,740
circumstance,16,741
night,16,742
disappointment,16,743
me;,16,744
"continued,",16,745
"more,",16,746
read,16,747
"""oh!",16,748
cold,16,749
became,16,750
"present,",16,751
except,16,752
"kind,",16,753
that.,16,754
silence,16,755
"manner,",16,756
help,16,757
"hand,",16,758
"feelings,",16,759
persuaded,16,760
again.,16,761
right,16,762
carried,16,763
"letter,",16,764
attempt,16,765
company,16,766
world.,15,767
"you,""",15,768
whenever,15,769
"much,",15,770
"happy,",15,771
lived,15,772
unwilling,15,773
"way,",15,774
"for,",15,775
daughter,15,776
ferrars's,15,777
admiration,15,778
quitted,15,779
mentioned,15,780
delight,15,781
speaking,15,782
"palmer,",15,783
difference,15,784
engage,15,785
door,15,786
themselves,15,787
loss,15,788
gone,15,789
"opinion,",15,790
difficulty,15,791
walk,15,792
receive,15,793
anxiety,15,794
steele,15,795
simple,15,796
respect,15,797
"""for",15,798
turn,15,799
several,15,800
during,15,801
disposition,15,802
past,15,803
affair,15,804
"hope,",15,805
conviction,15,806
"middleton,",15,807
letters,15,808
himself.,15,809
aware,15,810
"child,",15,811
him;,14,812
"themselves,",14,813
middleton's,14,814
treated,14,815
estate,14,816
joy,14,817
disposed,14,818
"me,""",14,819
question,14,820
followed,14,821
finding,14,822
liberty,14,823
"last,",14,824
frequently,14,825
mention,14,826
hoped,14,827
none,14,828
strange,14,829
exertion,14,830
marrying,14,831
"woman,",14,832
