Word,Freq,Rank
the,439,1
and,340,2
of,146,3
in,140,4
a,126,5
i,122,6
to,111,7
my,83,8
with,66,9
his,57,10
is,52,11
he,50,12
little,45,13
on,43,14
they,43,15
that,39,16
but,36,17
all,36,18
like,35,19
their,34,20
not,34,21
thou,33,22
her,33,23
from,32,24
thy,31,25
was,30,26
for,29,27
when,28,28
then,28,29
it,26,30
sweet,26,31
can,26,32
are,25,33
what,25,34
where,24,35
by,22,36
our,22,37
or,21,38
an,21,39
me,20,40
be,20,41
thee,19,42
so,19,43
shall,19,44
who,18,45
happy,18,46
does,17,47
&,17,48
every,17,49
have,17,50
as,16,51
human,16,52
down,16,53
love,16,54
if,16,55
she,15,56
never,15,57
why,15,58
nor,15,59
joy,15,60
till,15,61
am,14,62
upon,14,63
its,14,64
this,14,65
how,14,66
night,14,67
while,13,68
thel,13,69
see,13,70
no,13,71
we,13,72
holy,12,73
mother,12,74
father,12,75
o,12,76
hear,12,77
did,12,78
infant,11,79
weeping,11,80
o'er,11,81
your,11,82
"night,",10,83
sit,10,84
were,10,85
cloud,10,86
"sleep,",10,87
oh,10,88
"love,",10,89
"lamb,",10,90
heard,10,91
know,9,92
tender,9,93
white,9,94
god,9,95
"day,",9,96
bright,9,97
--,9,98
sorrow,9,99
him,9,100
golden,8,101
wept,8,102
away,8,103
hand,8,104
do,8,105
virgin,8,106
them,8,107
birds,8,108
voice,8,109
child,8,110
morning,8,111
round,8,112
green,8,113
over,8,114
rose,8,115
lyca,8,116
come,8,117
had,7,118
many,7,119
day,7,120
through,7,121
at,7,122
song,7,123
among,7,124
let,7,125
sing,7,126
"father,",7,127
heaven,7,128
children,7,129
face,7,130
"delight,",7,131
image,7,132
you,7,133
silent,7,134
saw,7,135
tears,7,136
now,7,137
garden,7,138
songs,7,139
"peace,",7,140
thee?,7,141
angel,7,142
smiles,7,143
came,7,144
doth,7,145
sleep,7,146
laugh,6,147
"merrily,",6,148
lost,6,149
go,6,150
sun,6,151
gone,6,152
made,6,153
these,6,154
vales,6,155
light,6,156
weep.,6,157
pretty,6,158
both,6,159
tell,6,160
"deep,",6,161
more,6,162
youth,6,163
up,6,164
fear,6,165
earth,6,166
heart,6,167
"thee,",6,168
merry,6,169
seek,6,170
art,6,171
"pity,",6,172
"away,",6,173
