Word,Freq,Rank
the,3414,1
and,2043,2
to,1149,3
a,1002,4
he,993,5
of,811,6
was,675,7
in,604,8
little,569,9
his,550,10
that,459,11
it,457,12
she,399,13
they,386,14
i,363,15
you,344,16
for,328,17
as,323,18
said,304,19
had,286,20
with,277,21
but,277,22
so,273,23
when,263,24
at,260,25
her,257,26
on,242,27
is,230,28
all,216,29
not,208,30
were,187,31
came,178,32
him,171,33
one,165,34
there,163,35
be,160,36
from,157,37
out,153,38
very,150,39
could,148,40
have,144,41
then,144,42
up,131,43
will,127,44
this,122,45
my,117,46
went,114,47
their,112,48
them,110,49
down,108,50
would,108,51
great,105,52
who,105,53
"""i",103,54
me,98,55
old,96,56
are,92,57
what,91,58
do,91,59
by,89,60
"said,",89,61
into,88,62
saw,87,63
like,85,64
made,84,65
if,84,66
see,84,67
your,81,68
no,80,69
more,77,70
after,77,71
where,72,72
come,72,73
did,71,74
looked,70,75
over,69,76
king,69,77
time,67,78
go,66,79
away,66,80
just,66,81
about,65,82
big,63,83
good,63,84
make,62,85
ran,61,86
put,61,87
or,60,88
than,60,89
people,60,90
man,60,91
how,60,92
every,59,93
two,58,94
we,58,95
took,57,96
some,56,97
am,56,98
"it,",54,99
never,54,100
"him,",54,101
him.,54,102
know,53,103
mother,52,104
began,51,105
day,50,106
thought,50,107
father,49,108
much,49,109
can,49,110
once,48,111
heard,47,112
only,46,113
other,45,114
long,45,115
boy,45,116
take,44,117
stood,44,118
margery,43,119
got,43,120
upon,43,121
jackal,42,122
shall,42,123
until,42,124
any,42,125
red,41,126
an,41,127
which,41,128
back,41,129
way,40,130
own,40,131
many,40,132
men,40,133
must,39,134
through,39,135
an',39,136
beautiful,39,137
been,38,138
"""you",37,139
think,37,140
"""oh,",37,141
last,37,142
something,36,143
till,36,144
look,36,145
should,36,146
while,35,147
white,35,148
soon,35,149
gingerbread,35,150
before,35,151
now,35,152
eat,35,153
fir,34,154
"me,",34,155
help,34,156
door,34,157
lion,33,158
left,33,159
prince,33,160
always,33,161
get,33,162
poor,33,163
called,33,164
asked,33,165
mouse,33,166
grew,33,167
let,32,168
along,32,169
"you,",32,170
felt,32,171
tailor,32,172
round,32,173
still,32,174
head,31,175
tree,31,176
such,31,177
told,31,178
it.,31,179
too,31,180
want,31,181
"day,",30,182
knew,30,183
them.,30,184
hard,30,185
lived,30,186
these,29,187
nightingale,29,188
"up,",29,189
thing,29,190
gold,28,191
tiny,28,192
"them,",28,193
"""the",28,194
give,28,195
next,28,196
another,28,197
emperor,28,198
fox,28,199
wanted,28,200
end,28,201
don't,27,202
"that,",27,203
"""and",27,204
"then,",27,205
work,27,206
found,27,207
turned,27,208
gave,27,209
ever,27,210
david,27,211
himself,27,212
story,26,213
going,26,214
because,26,215
kept,26,216
"said,--",26,217
"""it",26,218
garden,26,219
home,26,220
quite,26,221
used,26,222
set,25,223
brother,25,224
children,25,225
country,25,226
i'll,25,227
pretty,25,228
city,25,229
sing,25,230
kind,25,231
even,25,232
said.,24,233
brought,24,234
has,24,235
tell,24,236
"out,",24,237
catch,23,238
sent,23,239
new,23,240
its,23,241
enough,23,242
place,23,243
most,23,244
find,23,245
"""what",23,246
house,23,247
small,23,248
"""but",22,249
struck,22,250
"was,",22,251
cannot,22,252
sat,22,253
first,22,254
again,22,255
things,21,256
hold,21,257
"down,",21,258
fast,21,259
"man,",21,260
strong,21,261
tiger,21,262
happy,21,263
run,21,264
far,21,265
dear,20,266
sweet,20,267
off,20,268
"""who",20,269
three,20,270
wind,20,271
"there,",20,272
hear,20,273
became,19,274
"""that",19,275
us,19,276
carried,19,277
without,19,278
wife,19,279
near,19,280
leaves,19,281
eyes,18,282
cried,18,283
"""a",18,284
well,18,285
cut,18,286
fine,18,287
field,18,288
here,18,289
nothing,18,290
robert,18,291
may,18,292
cherry,18,293
keep,18,294
might,18,295
"again,",18,296
wonderful,18,297
each,18,298
under,17,299
tried,17,300
our,17,301
anything,17,302
"last,",17,303
"brahmin,",17,304
"mother,",17,305
hermit,17,306
better,17,307
"this,",17,308
those,17,309
trees,16,310
whole,16,311
music,16,312
killed,16,313
home.,16,314
water,16,315
right,16,316
fell,16,317
king's,16,318
earth,16,319
voice,16,320
horse,16,321
giant,16,322
*,15,323
"water,",15,324
"""yes,",15,325
almost,15,326
face,15,327
everything,15,328
"home,",15,329
food,15,330
opened,15,331
best,15,332
terrible,15,333
night,15,334
years,15,335
"and,",15,336
court,15,337
live,15,338
hand,15,339
again.,15,340
care,15,341
lazy,15,342
laughed,15,343
"time,",15,344
king.,15,345
against,15,346
seemed,14,347
courtiers,14,348
done,14,349
can't,14,350
green,14,351
bag,14,352
wait,14,353
liked,14,354
margaret,14,355
ground,14,356
full,14,357
hen,14,358
same,14,359
"her,",14,360
mighty,14,361
jackal.,14,362
couldn't,14,363
really,14,364
"away,",14,365
morning,14,366
young,14,367
grey,14,368
jack,14,369
alligator,14,370
"me!""",13,371
show,13,372
lay,13,373
kill,13,374
margery's,13,375
worked,13,376
woman,13,377
"""if",13,378
loved,13,379
open,13,380
castle,13,381
carry,13,382
does,13,383
fairy,13,384
"night,",13,385
across,13,386
child,13,387
statue,13,388
half-chick,13,389
ground.,13,390
world,13,391
"on,",13,392
"so,",13,393
suddenly,13,394
few,13,395
read,13,396
behind,13,397
wee,12,398
christmas,12,399
stone,12,400
wicked,12,401
palace,12,402
except,12,403
hole,12,404
able,12,405
dark,12,406
wish,12,407
there.,12,408
brahmin,12,409
named,12,410
says,12,411
nice,12,412
servants,12,413
shut,12,414
rid,12,415
mr,12,416
"""i'll",12,417
"too,",12,418
life,12,419
strange,12,420
louisa,12,421
save,12,422
rolled,12,423
"king,",12,424
"head,",12,425
happened,12,426
elsa,12,427
drove,12,428
pull,12,429
land,12,430
girl,12,431
toward,12,432
heart,12,433
"hoppity-kick,",12,434
shone,11,435
straight,11,436
sang,11,437
"""how",11,438
fair,11,439
grow,11,440
"you,""",11,441
looks,11,442
"now,",11,443
since,11,444
seen,11,445
"father,",11,446
clock,11,447
jumped,11,448
hidden,11,449
shoemaker,11,450
her.,11,451
flew,11,452
"came,",11,453
tortoise,11,454
man's,11,455
"by,",11,456
everybody,11,457
baby,11,458
taken,11,459
looking,11,460
high,11,461
emperor's,11,462
bad,11,463
stories,11,464
sound,11,465
himself.,11,466
"boy,",11,467
early,11,468
rest,11,469
brown,11,470
lovely,11,471
"thought,",11,472
love,11,473
me.,11,474
ate,10,475
flowers,10,476
gone,10,477
"jackal,",10,478
roll,10,479
ask,10,480
house.,10,481
thou,10,482
threw,10,483
thy,10,484
didn't,10,485
shoes,10,486
days,10,487
"still,",10,488
"work,",10,489
royal,10,490
piece,10,491
"say,",10,492
light,10,493
often,10,494
river,10,495
filled,10,496
nobody,10,497
corn,10,498
between,10,499
heavenly,10,500
camel,10,501
tailor.,10,502
cow,10,503
thin,10,504
"dear,",10,505
all.,10,506
sitting,10,507
epaminondas,10,508
dagda,10,509
"house,",10,510
ten,10,511
minute,10,512
harp,10,513
trundle-bed,10,514
"lion,",10,515
artist,10,516
half,10,517
was.,10,518
bright,10,519
tail,10,520
money,10,521
caught,10,522
soul,10,523
started,10,524
sure,10,525
sicily,10,526
drew,10,527
bring,10,528
"little,",10,529
wise,10,530
being,10,531
bread,10,532
"off,",10,533
rollaround,10,534
"himself,",9,535
soft,9,536
real,9,537
ready,9,538
carefully,9,539
moon,9,540
exactly,9,541
presently,9,542
christ,9,543
why,9,544
stole,9,545
"tree,",9,546
say,9,547
bit,9,548
saved,9,549
"way,",9,550
friend,9,551
begged,9,552
"more,",9,553
sun,9,554
boat,9,555
"know,",9,556
"long,",9,557
"course,",9,558
sometimes,9,559
"""no,",9,560
rain,9,561
thinking,9,562
born,9,563
"friend,",9,564
part,9,565
held,9,566
grown,9,567
beside,9,568
elephant,9,569
bought,9,570
"about,",9,571
day.,9,572
mountain,9,573
"eyes,",9,574
stay,9,575
top,9,576
snow,9,577
play,9,578
magic,9,579
wrote,9,580
walked,9,581
gottlieb,9,582
"""do",9,583
bed,9,584
paw,9,585
touched,9,586
"morning,",9,587
sit,9,588
stopped,9,589
given,9,590
fairies,9,591
"woman,",9,592
sprang,9,593
hands,9,594
"door,",9,595
"fox,",9,596
room,9,597
middle,9,598
plough,9,599
midst,9,600
around,8,601
sad,8,602
people.,8,603
perhaps,8,604
else,8,605
women,8,606
"""he",8,607
fields,8,608
crabs,8,609
tired,8,610
"""my",8,611
"""little",8,612
"margery,",8,613
yellow,8,614
"cage?""",8,615
"me,""",8,616
margery.,8,617
shook,8,618
times,8,619
brahmin.,8,620
"well,",8,621
shiny,8,622
among,8,623
salt,8,624
"david,",8,625
outside,8,626
roared,8,627
bade,8,628
art,8,629
tears,8,630
mouse.,8,631
"earth,",8,632
rose,8,633
"mammy,""",8,634
pulled,8,635
ye,8,636
begin,8,637
"king!""",8,638
evening,8,639
"horse,",8,640
said;,8,641
pushed,8,642
lying,8,643
fox.,8,644
remember,8,645
"trees,",8,646
tied,8,647
"nightingale,",8,648
angel,8,649
grass,8,650
low,8,651
"it.""",8,652
"""it's",8,653
"air,",8,654
sea,8,655
remembered,8,656
whale,8,657
grind,8,658
bowed,8,659
cloud,8,660
coming,8,661
talk,8,662
plant,8,663
beat,8,664
surely,8,665
wonder,8,666
fight,8,667
ould,8,668
death,8,669
running,8,670
above,8,671
"cow,",8,672
rope,7,673
ring,7,674
"leaves,",7,675
saul,7,676
song,7,677
"life,",7,678
armies,7,679
frode,7,680
"world,",7,681
"them.""",7,682
funny,7,683
helped,7,684
"back,",7,685
book,7,686
god.,7,687
"courtiers,",7,688
dropped,7,689
philistine,7,690
father.,7,691
doing,7,692
raised,7,693
"""not",7,694
pot,7,695
up.,7,696
"went,",7,697
"""i'm",7,698
wearing,7,699
side,7,700
about.,7,701
"bed,",7,702
sons,7,703
can!,7,704
"one,",7,705
alligator!,7,706
"""now",7,707
crown,7,708
"epaminondas,",7,709
foolish,7,710
"me.""",7,711
"over,",7,712
covered,7,713
acorn,7,714
him;,7,715
before.,7,716
garden.,7,717
girls,7,718
stones,7,719
gone.,7,720
"voice,",7,721
"""when",7,722
wid,7,723
"ran,",7,724
"""they",7,725
words,7,726
danced,7,727
wild,7,728
"girl,",7,729
four,7,730
i'm,7,731
"""god",7,732
move,7,733
"once,",7,734
life.,7,735
indeed,7,736
"""there",7,737
seeds,7,738
beasts,7,739
"""this",7,740
wore,7,741
stuck,7,742
lord,7,743
time.,7,744
safely,7,745
"tiger,",7,746
fly,7,747
deal,7,748
zelia,7,749
"""why",7,750
"i,""",7,751
"another,",7,752
whom,7,753
farmer,7,754
