Word,Freq,Rank
the,659,1
he,650,2
and,512,3
to,416,4
of,337,5
that,287,6
a,283,7
was,257,8
it,227,9
had,210,10
buster,209,11
little,203,12
his,183,13
as,163,14
in,161,15
is,138,16
so,108,17
all,108,18
bear,107,19
for,101,20
at,100,21
farmer,99,22
but,97,23
brown's,97,24
one,95,25
joe,93,26
you,90,27
green,87,28
i,82,29
very,82,30
when,80,31
on,79,32
they,79,33
just,79,34
boy,79,35
if,71,36
then,70,37
there,69,38
him,65,39
with,63,40
what,63,41
be,61,42
out,58,43
up,58,44
didn't,55,45
see,53,46
have,52,47
who,49,48
said,48,49
great,47,50
could,47,51
blacky,46,52
would,45,53
no,45,54
from,44,55
big,44,56
old,42,57
were,41,58
this,41,59
down,41,60
been,40,61
some,40,62
know,39,63
looked,39,64
or,38,65
billy,38,66
sammy,37,67
about,36,68
where,35,69
time,35,70
more,35,71
it.,35,72
laughing,34,73
now,34,74
than,34,75
get,33,76
how,33,77
afraid,32,78
right,32,79
forest,32,80
fish,31,81
them,30,82
way,29,83
otter,29,84
are,29,85
away,28,86
pail,28,87
over,28,88
couldn't,27,89
"""i",27,90
by,27,91
make,27,92
trout,26,93
any,26,94
made,25,95
berries,25,96
sure,25,97
do,25,98
other,25,99
even,25,100
has,24,101
frightened,24,102
thought,24,103
come,24,104
thing,24,105
smiling,23,106
too,23,107
never,23,108
went,23,109
those,23,110
back,22,111
can,22,112
chatterer,22,113
saw,22,114
grandfather,22,115
people,22,116
much,21,117
into,21,118
"him,",21,119
pool,21,120
until,21,121
came,21,122
think,21,123
did,21,124
everybody,20,125
"forest,",20,126
heard,20,127
else,20,128
knew,20,129
not,20,130
go,19,131
will,19,132
such,19,133
something,19,134
bear.,19,135
which,19,136
off,18,137
him.,18,138
started,18,139
believe,18,140
eyes,18,141
mr.,18,142
"see,",18,143
ever,18,144
began,17,145
fat,17,146
first,17,147
my,17,148
because,17,149
tell,17,150
next,17,151
behind,17,152
once,16,153
me,16,154
head,16,155
got,16,156
long,16,157
going,16,158
enough,16,159
eat,16,160
caught,16,161
keep,16,162
bad,16,163
reddy,15,164
mink,15,165
through,15,166
felt,15,167
catch,15,168
wasn't,15,169
brook,15,170
he.,15,171
"pool,",15,172
fishing,15,173
most,15,174
i'll,15,175
must,14,176
same,14,177
like,14,178
found,14,179
crow,14,180
forest.,14,181
isn't,14,182
don't,14,183
himself.,14,184
sat,13,185
red,13,186
still,13,187
looking,13,188
told,13,189
jay,13,190
things,13,191
peter,13,192
only,13,193
run,13,194
seen,13,195
them.,13,196
find,13,197
himself,13,198
might,13,199
kept,13,200
should,13,201
pasture,13,202
"bear,",13,203
seemed,12,204
tree,12,205
want,12,206
top,12,207
"is,",12,208
take,12,209
before,12,210
always,12,211
nothing,12,212
good,12,213
we,12,214
"brook,",12,215
place,12,216
another,12,217
