Word,Freq,Rank
the,3566,1
a,1719,2
of,1710,3
and,1602,4
he,1080,5
to,1038,6
in,902,7
his,804,8
that,790,9
was,703,10
i,640,11
with,556,12
you,527,13
it,510,14
as,487,15
is,426,16
had,425,17
said,405,18
but,399,19
not,347,20
at,341,21
syme,308,22
for,306,23
they,302,24
on,292,25
like,253,26
all,250,27
have,246,28
this,244,29
be,243,30
an,237,31
are,223,32
were,212,33
we,207,34
man,202,35
which,193,36
"""i",187,37
if,187,38
out,182,39
one,181,40
him,178,41
there,171,42
by,168,43
who,167,44
or,159,45
from,148,46
could,148,47
so,143,48
up,141,49
into,140,50
only,136,51
my,134,52
when,127,53
some,121,54
would,118,55
what,116,56
been,114,57
then,113,58
about,111,59
will,110,60
more,110,61
their,110,62
me,106,63
do,106,64
"syme,",106,65
your,105,66
down,101,67
very,101,68
has,100,69
professor,97,70
no,93,71
am,93,72
seemed,89,73
even,89,74
old,87,75
face,87,76
can,86,77
great,83,78
than,82,79
quite,81,80
"""you",80,81
little,78,82
see,77,83
dr.,76,84
looked,75,85
them,74,86
upon,72,87
came,72,88
almost,71,89
two,70,90
still,70,91
might,69,92
men,69,93
went,68,94
asked,68,95
never,67,96
did,67,97
black,64,98
over,64,99
"""it",64,100
other,63,101
first,62,102
really,61,103
know,60,104
made,60,105
saw,60,106
any,60,107
these,59,108
"said,",58,109
may,58,110
long,58,111
whole,57,112
before,57,113
think,57,114
through,56,115
stood,56,116
after,56,117
say,55,118
off,55,119
such,55,120
sunday,55,121
last,54,122
time,53,123
something,53,124
back,53,125
himself,53,126
should,53,127
those,53,128
thing,52,129
gregory,51,130
good,51,131
under,50,132
don't,50,133
us,50,134
our,50,135
"""the",50,136
tell,50,137
come,50,138
too,50,139
eyes,49,140
just,49,141
white,48,142
shall,48,143
turned,48,144
being,48,145
must,47,146
now,47,147
cried,46,148
because,46,149
its,46,150
syme.,46,151
president,46,152
bull,46,153
against,45,154
make,44,155
"""what",43,156
most,43,157
"him,",43,158
thought,43,159
it.,42,160
going,41,161
across,41,162
new,41,163
put,41,164
red,41,165
sort,41,166
head,40,167
dark,40,168
found,40,169
round,40,170
own,40,171
always,39,172
suddenly,39,173
"""but",38,174
rather,38,175
"""and",38,176
yet,38,177
took,37,178
sat,37,179
marquis,36,180
felt,36,181
look,36,182
without,36,183
how,36,184
get,35,185
secretary,35,186
"bull,",35,187
people,35,188
go,35,189
him.,35,190
"""we",34,191
much,34,192
once,34,193
"""that",33,194
left,33,195
"it,",33,196
three,33,197
right,33,198
de,33,199
blue,32,200
where,32,201
heard,32,202
behind,32,203
each,32,204
looking,31,205
knew,31,206
here,31,207
got,31,208
believe,31,209
away,31,210
also,30,211
take,30,212
street,30,213
towards,30,214
light,30,215
"gregory,",30,216
syme's,30,217
place,30,218
struck,30,219
began,30,220
"professor,",30,221
voice,29,222
colonel,29,223
human,29,224
though,29,225
end,29,226
why,29,227
moment,29,228
let,28,229
can't,28,230
replied,28,231
kind,28,232
well,27,233
police,27,234
them.,27,235
between,27,236
common,27,237
cannot,27,238
fell,27,239
again,27,240
ordinary,26,241
small,26,242
half,26,243
another,26,244
hair,26,245
many,25,246
perhaps,25,247
way,25,248
world,25,249
called,25,250
feel,25,251
every,25,252
find,25,253
answered,25,254
ever,25,255
sense,24,256
things,24,257
along,24,258
seen,24,259
"""he",24,260
beard,24,261
"you,",24,262
anything,24,263
nothing,24,264
rose,24,265
hand,24,266
"however,",24,267
whether,23,268
mere,23,269
enough,23,270
broke,23,271
said.,22,272
side,22,273
man's,22,274
"man,",22,275
hear,22,276
comrade,22,277
room,22,278
far,22,279
while,21,280
ask,21,281
same,21,282
"""my",21,283
"""yes,""",21,284
somewhat,21,285
fear,21,286
hat,21,287
gave,21,288
call,21,289
front,21,290
figure,21,291
high,21,292
whom,21,293
gone,20,294
earth,20,295
anarchist,20,296
talk,20,297
policeman,20,298
large,20,299
sudden,20,300
grey,20,301
sprang,20,302
coming,20,303
standing,20,304
french,20,305
everything,19,306
word,19,307
sun,19,308
wild,19,309
"""oh,",19,310
second,19,311
certain,19,312
mr.,19,313
you.,19,314
square,18,315
mind,18,316
"me,",18,317
does,18,318
passed,18,319
pale,18,320
give,18,321
next,18,322
"""no,""",18,323
staring,18,324
understand,18,325
remember,18,326
merely,18,327
road,18,328
poet,18,329
want,18,330
hands,18,331
mean,18,332
fight,18,333
heavy,18,334
above,18,335
gentleman,17,336
both,17,337
world.,17,338
"you,""",17,339
already,17,340
silence,17,341
others,17,342
ran,17,343
top,17,344
sometimes,17,345
strange,17,346
few,17,347
gogol,17,348
seem,16,349
"secretary,",16,350
suppose,16,351
except,16,352
six,16,353
"them,",16,354
soon,16,355
true,16,356
"""if",16,357
yellow,16,358
five,16,359
table,16,360
day,16,361
"marquis,",16,362
cloud,16,363
friend,16,364
myself,16,365
words,16,366
sword,16,367
told,16,368
professor.,16,369
"""there",16,370
anarchists,16,371
iron,16,372
chapter,16,373
themselves,15,374
god,15,375
"""well,",15,376
least,15,377
fancy,15,378
talking,15,379
.,15,380
simple,15,381
"well,",15,382
it's,15,383
modern,15,384
hundred,15,385
seems,15,386
four,15,387
morning,15,388
"this,",15,389
train,15,390
pointed,15,391
face.,15,392
slowly,15,393
spoke,15,394
green,15,395
"indeed,",15,396
dead,14,397
mad,14,398
"colonel,",14,399
lifted,14,400
break,14,401
"it,""",14,402
silent,14,403
close,14,404
smile,14,405
open,14,406
whose,14,407
"table,",14,408
full,14,409
beyond,14,410
walked,14,411
huge,14,412
secret,14,413
"other,",14,414
"president,",14,415
point,14,416
fallen,14,417
broken,14,418
"""do",14,419
detective,14,420
fact,14,421
"was,",14,422
chance,14,423
serious,14,424
low,14,425
twenty,14,426
anyone,14,427
grew,14,428
me.,14,429
"""they",13,430
"us,",13,431
i'm,13,432
set,13,433
walk,13,434
real,13,435
eyes.,13,436
gregory.,13,437
led,13,438
feet,13,439
clear,13,440
name,13,441
sea.,13,442
until,13,443
streets,13,444
all.,13,445
"street,",13,446
part,13,447
life,13,448
dancing,13,449
"all,",13,450
dressed,13,451
instant,13,452
night,13,453
"long,",13,454
smile.,13,455
certainly,13,456
doctor,13,457
hardly,13,458
flung,13,459
"silence,",13,460
"feet,",12,461
"""a",12,462
big,12,463
wish,12,464
poor,12,465
"voice,",12,466
swear,12,467
"cried,",12,468
entered,12,469
itself,12,470
taking,12,471
matter,12,472
gentlemen,12,473
"""are",12,474
"room,",12,475
queer,12,476
having,12,477
enormous,12,478
"""is",12,479
council,12,480
roar,12,481
"so,",12,482
young,12,483
reason,12,484
"""this",12,485
broad,12,486
said--,12,487
growing,12,488
"now,",12,489
table.,12,490
run,12,491
walking,12,492
intellectual,11,493
cold,11,494
"himself,",11,495
hand.,11,496
promise,11,497
enemies,11,498
cut,11,499
since,11,500
need,11,501
twice,11,502
lit,11,503
st.,11,504
best,11,505
among,11,506
help,11,507
"course,",11,508
finally,11,509
nose,11,510
"and,",11,511
other.,11,512
either,11,513
car,11,514
destroy,11,515
seven,11,516
"it.""",11,517
"yes,",11,518
voice.,11,519
fixed,11,520
evening,11,521
indeed,11,522
secretary.,11,523
bull.,11,524
keep,11,525
silver,11,526
thursday,11,527
seconds,11,528
better,11,529
silly,11,530
bright,11,531
forward,11,532
pull,11,533
head.,11,534
remembered,11,535
"is,",11,536
nature,11,537
worms,11,538
"say,",11,539
"see,",11,540
nearer,11,541
carried,11,542
making,11,543
"fact,",10,544
cried.,10,545
"is,""",10,546
right.,10,547
window,10,548
gabriel,10,549
saffron,10,550
heaven,10,551
"sunday,",10,552
fine,10,553
"""not",10,554
"""well,""",10,555
drew,10,556
sitting,10,557
corner,10,558
tall,10,559
cab,10,560
smiling,10,561
syme;,10,562
resumed,10,563
"me.""",10,564
strolled,10,565
mouth,10,566
air,10,567
swung,10,568
card,10,569
marquis's,10,570
talked,10,571
devil,10,572
turn,10,573
comes,10,574
sunday.,10,575
"hand,",10,576
road.,10,577
deep,10,578
moved,10,579
crime,10,580
repeated,10,581
catch,10,582
elephant,10,583
wore,10,584
out.,10,585
"eyes,",10,586
caught,10,587
"men,",10,588
taken,10,589
house,10,590
"face,",10,591
pause,10,592
soul,10,593
living,10,594
solid,10,595
distant,10,596
pulled,10,597
hope,10,598
jolly,10,599
stared,10,600
early,10,601
chair,10,602
minutes,10,603
bulk,10,604
sunlight,10,605
"out,",10,606
leave,10,607
free,10,608
truth,10,609
strike,10,610
line,10,611
read,10,612
clothes,10,613
presence,10,614
sea,10,615
blind,10,616
breaking,9,617
became,9,618
probably,9,619
glass,9,620
waiting,9,621
inspector,9,622
this.,9,623
stone,9,624
lay,9,625
order,9,626
followed,9,627
else,9,628
thick,9,629
together,9,630
short,9,631
"are,",9,632
didn't,9,633
poetical,9,634
"moment,",9,635
"""where",9,636
ought,9,637
opened,9,638
"me,""",9,639
he's,9,640
"""no,",9,641
dress,9,642
afraid,9,643
town,9,644
you're,9,645
"then,",9,646
alone,9,647
"""don't",9,648
stand,9,649
dangerous,9,650
trust,9,651
"""when",9,652
ratcliffe,9,653
final,9,654
smiled,9,655
sunset,9,656
"up,",9,657
insane,9,658
enemy,9,659
supreme,9,660
perfect,9,661
held,9,662
again.,9,663
curious,9,664
answer,9,665
lantern,9,666
afterwards,9,667
sky.,9,668
outside,9,669
happy,9,670
bad,9,671
"""why",9,672
given,9,673
renard,9,674
means,9,675
"river,",9,676
"""so",9,677
"policeman,",9,678
"""",9,679
you?,9,680
sky,9,681
"""have",9,682
gregory's,9,683
gradually,9,684
continued,9,685
knows,9,686
"hair,",9,687
hour,9,688
man.,9,689
stick,9,690
original,9,691
running,9,692
kept,9,693
foreign,8,694
practical,8,695
horses,8,696
trees,8,697
dear,8,698
wicked,8,699
"""of",8,700
done,8,701
whenever,8,702
her,8,703
wood,8,704
edge,8,705
impression,8,706
quiet,8,707
seat,8,708
exactly,8,709
bull's,8,710
"down,",8,711
strong,8,712
question,8,713
"gogol,",8,714
station,8,715
form,8,716
idea,8,717
express,8,718
"smile,",8,719
heart,8,720
whatever,8,721
stepped,8,722
follow,8,723
"""yes,",8,724
vast,8,725
tried,8,726
bit,8,727
terrible,8,728
especially,8,729
thrown,8,730
doubt,8,731
bent,8,732
inside,8,733
sunday's,8,734
hard,8,735
playing,8,736
"""will",8,737
"""why,",8,738
"last,",8,739
army,8,740
railway,8,741
somehow,8,742
drink,8,743
forgive,8,744
dim,8,745
"honour,",8,746
"you?""",8,747
paris,8,748
leant,8,749
coat,8,750
ten,8,751
way.,8,752
"mean?""",8,753
"anarchists,",8,754
ratcliffe.,8,755
throw,8,756
care,8,757
darkness,8,758
town.,8,759
realised,8,760
explain,8,761
central,8,762
"again,",8,763
horse,8,764
room.,8,765
"think,",8,766
empty,8,767
middle,8,768
started,8,769
particular,8,770
rich,8,771
leicester,8,772
general,8,773
listen,8,774
awful,8,775
rigid,8,776
"spoke,",8,777
paralytic,8,778
conversation,8,779
notion,8,780
laughed,8,781
understood,8,782
"off,",8,783
"man,""",7,784
sad,7,785
frightful,7,786
she,7,787
straight,7,788
english,7,789
commonly,7,790
shot,7,791
quickly,7,792
powerful,7,793
beastly,7,794
threw,7,795
pleasure,7,796
"council,",7,797
leaving,7,798
grave,7,799
hold,7,800
field,7,801
dropped,7,802
person,7,803
actual,7,804
stare,7,805
brought,7,806
silence.,7,807
that's,7,808
"sea,",7,809
leapt,7,810
shaking,7,811
"that,",7,812
leap,7,813
utterly,7,814
"""mr.",7,815
days,7,816
possible,7,817
door,7,818
entirely,7,819
energy,7,820
"pocket,",7,821
"""has",7,822
men.,7,823
"slowly,",7,824
pair,7,825
faces,7,826
"car,",7,827
roared,7,828
less,7,829
together.,7,830
nor,7,831
third,7,832
innocent,7,833
horrible,7,834
burning,7,835
inner,7,836
one.,7,837
"us.""",7,838
"light,",7,839
voice--,7,840
thus,7,841
"cab,",7,842
"""our",7,843
spectacles,7,844
i'll,7,845
showed,7,846
"pale,",7,847
yourself,7,848
known,7,849
"""comrade",7,850
added,7,851
dreadful,7,852
tree,7,853
plans,7,854
often,7,855
fought,7,856
"ducroix,",7,857
"hat,",7,858
gesture,7,859
act,7,860
"ratcliffe,",7,861
"""to",7,862
"head,",7,863
anarchist.,7,864
fighting,7,865
"balcony,",7,866
balcony,7,867
lot,7,868
unnatural,7,869
beside,7,870
calling,7,871
flying,7,872
branch,7,873
respect,7,874
adventures,7,875
fire,7,876
"""for",7,877
chin,7,878
buildings,7,879
friends,7,880
"""let",7,881
public,7,882
"little,",7,883
brown,7,884
"""as",7,885
says,7,886
slight,7,887
curiosity.,7,888
shining,7,889
plain,7,890
brain,7,891
past,7,892
"""that's",7,893
"beard,",7,894
himself.,7,895
rest,7,896
"that,""",7,897
advancing,7,898
company,7,899
spring,6,900
furious,6,901
"anarchy,",6,902
'you,6,903
pistol,6,904
strode,6,905
getting,6,906
saying,6,907
"""how",6,908
damned,6,909
prevent,6,910
join,6,911
"then?""",6,912
"""because",6,913
detectives,6,914
speak,6,915
healthy,6,916
"now,""",6,917
met,6,918
doing,6,919
ready,6,920
"sense,",6,921
beginning,6,922
case,6,923
up.,6,924
"""i'm",6,925
rank,6,926
reached,6,927
balloon,6,928
become,6,929
partly,6,930
death.,6,931
rising,6,932
distance,6,933
turning,6,934
light.,6,935
worth,6,936
"say,""",6,937
"here,",6,938
christians,6,939
"life,",6,940
"way,",6,941
finger,6,942
sword-stick,6,943
hate,6,944
symbol,6,945
hotel,6,946
"anarchist,",6,947
space,6,948
"what?""",6,949
received,6,950
"word,",6,951
itself.,6,952
monstrous,6,953
scientific,6,954
shadow,6,955
"know,",6,956
"myself,",6,957
crowd,6,958
parade,6,959
keeping,6,960
"snow,",6,961
mind.,6,962
grow,6,963
false,6,964
odd,6,965
sight,6,966
forehead.,6,967
"""dr.",6,968
"shadow,",6,969
surely,6,970
tore,6,971
crooked,6,972
blood,6,973
simply,6,974
sharp,6,975
bewildering,6,976
honour,6,977
perfectly,6,978
"syme,""",6,979
learn,6,980
"no,",6,981
fully,6,982
contrast,6,983
criminal,6,984
"?""",6,985
lights,6,986
mankind,6,987
"there,",6,988
"suddenly,",6,989
beautiful,6,990
feeling,6,991
vaguely,6,992
grass,6,993
eye,6,994
carriages,6,995
shown,6,996
"afterwards,",6,997
police.,6,998
"you.""",6,999
influence,6,1000
mysterious,6,1001
fiery,6,1002
rattling,6,1003
breakfast,6,1004
passionate,6,1005
special,6,1006
course,6,1007
spectacles.,6,1008
extraordinary,6,1009
splendid,6,1010
see.,6,1011
manner,6,1012
appeared,6,1013
speaking,6,1014
"first,",6,1015
moral,6,1016
stopped,6,1017
scarcely,6,1018
opening,6,1019
moving,6,1020
"""in",6,1021
swept,6,1022
yards,6,1023
universe,6,1024
hours,6,1025
british,6,1026
literally,6,1027
finds,6,1028
"oh,",6,1029
difference,6,1030
nerves,6,1031
isn't,6,1032
effect,6,1033
near,6,1034
exquisite,6,1035
used,6,1036
barrel-organ,6,1037
fierce,6,1038
peasant,5,1039
bomb,5,1040
personal,5,1041
square.,5,1042
lost,5,1043
irregular,5,1044
fall,5,1045
play,5,1046
"rate,",5,1047
ring,5,1048
type,5,1049
"right,",5,1050
ball,5,1051
"friends,",5,1052
tale,5,1053
show,5,1054
occurred,5,1055
further,5,1056
shoulder,5,1057
around,5,1058
father,5,1059
"humanity,",5,1060
filled,5,1061
pride,5,1062
"dark,",5,1063
lamp,5,1064
weary,5,1065
difficulty,5,1066
morbid,5,1067
women,5,1068
inquired,5,1069
law,5,1070
elected,5,1071
"""comrades,""",5,1072
wonder,5,1073
bewildered,5,1074
"""then",5,1075
"""your",5,1076
"things,",5,1077
straw,5,1078
anarchy,5,1079
miles,5,1080
that.,5,1081
able,5,1082
revolt,5,1083
policeman.,5,1084
instinctively,5,1085
day.,5,1086
startling,5,1087
burst,5,1088
president.,5,1089
natural,5,1090
stars,5,1091
valour,5,1092
"also,",5,1093
smell,5,1094
gravity,5,1095
hat.,5,1096
tomorrow,5,1097
cloud.,5,1098
accept,5,1099
force,5,1100
hair.,5,1101
flowers,5,1102
seat.,5,1103
shook,5,1104
worms.,5,1105
highly,5,1106
"nothing,",5,1107
considerable,5,1108
colour,5,1109
everyone,5,1110
"least,",5,1111
"laughter,",5,1112
"night,",5,1113
dream.,5,1114
flame,5,1115
"seat,",5,1116
position,5,1117
worse,5,1118
mass,5,1119
"them.""",5,1120
startled,5,1121
"tree,",5,1122
nearly,5,1123
glasses,5,1124
girl,5,1125
feet.,5,1126
down.,5,1127
on.,5,1128
river,5,1129
regarded,5,1130
steadily,5,1131
work,5,1132
body,5,1133
lighted,5,1134
society,5,1135
"mad,",5,1136
fingers,5,1137
surprised,5,1138
him;,5,1139
crime.,5,1140
hell.,5,1141
outer,5,1142
"""does",5,1143
promised,5,1144
"""who",5,1145
"it!""",5,1146
haven't,5,1147
stones,5,1148
advice,5,1149
intellect,5,1150
(if,5,1151
boat,5,1152
late,5,1153
doubts,5,1154
"gentleman,",5,1155
"sir,",5,1156
passage,5,1157
goes,5,1158
away.,5,1159
boots,5,1160
crazy,5,1161
balcony.,5,1162
steel,5,1163
driven,5,1164
waistcoat,5,1165
laughter.,5,1166
creation,5,1167
hats,5,1168
glory,5,1169
shoulders,5,1170
bank,5,1171
meant,5,1172
spoken,5,1173
off.,5,1174
"it?""",5,1175
arresting,5,1176
begun,5,1177
marquis.,5,1178
evil,5,1179
shape,5,1180
weak,5,1181
"sir,""",5,1182
several,5,1183
denied,5,1184
days.,5,1185
german,5,1186
strength,5,1187
speech,5,1188
"suppose,",5,1189
thinking,5,1190
falling,5,1191
leaning,5,1192
"speak,",5,1193
scream,5,1194
pretty,5,1195
singular,5,1196
movements,5,1197
park.,5,1198
"society,",5,1199
dynamite,5,1200
larger,5,1201
bloody,5,1202
trying,5,1203
sunset.,5,1204
"blue,",5,1205
evidently,5,1206
word.,5,1207
present,5,1208
president's,5,1209
question.,5,1210
know.,5,1211
risen,5,1212
war,5,1213
"""all",5,1214
decent,5,1215
"case,",5,1216
following,5,1217
actually,5,1218
devils,5,1219
"""with",5,1220
reminded,5,1221
wanted,5,1222
coffee,5,1223
snow,5,1224
laid,5,1225
vague,5,1226
extreme,5,1227
"stick,",5,1228
descended,5,1229
attack,5,1230
was.,5,1231
carriage,5,1232
fears,5,1233
"short,",5,1234
likely,5,1235
drunk,5,1236
stranger,5,1237
within,5,1238
try,5,1239
"think,""",5,1240
easily,5,1241
flower,5,1242
outrageous,5,1243
kill,5,1244
"figure,",5,1245
"that?""",5,1246
flaming,5,1247
bed,5,1248
slow,5,1249
houses,5,1250
"""stop",5,1251
moon.,5,1252
die.,5,1253
sunlit,5,1254
fat,5,1255
sit,5,1256
cafe,5,1257
shouted,5,1258
farther,5,1259
fresh,5,1260
london.,5,1261
shocking,5,1262
place.,5,1263
attempt,5,1264
deny,5,1265
address,5,1266
insulted,5,1267
flash,5,1268
control,5,1269
"policy,",5,1270
kindly,5,1271
expressed,5,1272
patch,5,1273
worst,5,1274
post,5,1275
bring,5,1276
swinging,5,1277
"faces,",5,1278
working,5,1279
impulse,5,1280
suggested,5,1281
idiotic,5,1282
abrupt,5,1283
crossed,5,1284
sent,5,1285
"window,",5,1286
die,5,1287
figures,5,1288
i've,5,1289
chairman,5,1290
"door,",5,1291
twisted,5,1292
supposed,5,1293
died,5,1294
"back,",5,1295
revolver,5,1296
cause,5,1297
"together,",5,1298
god!,5,1299
unless,5,1300
colonel.,5,1301
"garden,",5,1302
"time,",5,1303
death,5,1304
naked,5,1305
it!,5,1306
"right,""",5,1307
moon,5,1308
pocket,5,1309
disappeared,5,1310
first.,4,1311
words.,4,1312
"evening,",4,1313
shapeless,4,1314
deadly,4,1315
respectable,4,1316
obviously,4,1317
story,4,1318
painful,4,1319
flat,4,1320
?,4,1321
showing,4,1322
"fellow,",4,1323
lift,4,1324
betray,4,1325
panting,4,1326
step,4,1327
desperate,4,1328
stop,4,1329
