Word,Freq,Rank
the,1603,1
and,766,2
to,706,3
a,614,4
she,518,5
of,493,6
said,421,7
it,362,8
in,351,9
was,333,10
you,264,11
i,260,12
as,249,13
that,222,14
alice,221,15
her,208,16
at,205,17
had,176,18
with,169,19
all,155,20
on,142,21
very,139,22
be,138,23
for,135,24
so,126,25
'i,121,26
little,120,27
they,117,28
but,116,29
he,111,30
not,108,31
this,103,32
out,97,33
his,95,34
what,91,35
about,84,36
were,82,37
up,81,38
one,80,39
went,79,40
down,78,41
have,77,42
"alice,",76,43
would,76,44
like,75,45
when,73,46
if,72,47
is,71,48
or,68,49
into,67,50
no,67,51
could,65,52
there,64,53
thought,63,54
*,60,55
your,60,56
then,59,57
its,57,58
by,57,59
an,56,60
mock,56,61
my,56,62
'and,55,63
quite,55,64
alice.,54,65
who,54,66
don't,53,67
do,51,68
their,51,69
did,50,70
some,50,71
them,49,72
just,48,73
see,48,74
began,47,75
time,47,76
know,46,77
me,46,78
how,46,79
got,45,80
looked,45,81
only,44,82
get,43,83
must,42,84
much,40,85
which,40,86
herself,40,87
never,40,88
off,40,89
such,40,90
after,40,91
are,40,92
more,39,93
go,39,94
'you,39,95
great,39,96
'but,38,97
think,38,98
came,38,99
"it,",38,100
i'm,37,101
way,37,102
any,36,103
been,36,104
queen,35,105
say,35,106
thing,35,107
'what,34,108
turtle,33,109
from,32,110
large,32,111
can,31,112
put,31,113
march,31,114
"again,",31,115
"herself,",31,116
over,31,117
it's,31,118
first,30,119
rabbit,30,120
long,30,121
looking,30,122
'it,30,123
round,30,124
will,30,125
heard,29,126
back,29,127
head,29,128
made,29,129
tell,29,130
king,28,131
white,28,132
found,28,133
well,27,134
might,27,135
should,27,136
seemed,27,137
"on,",27,138
can't,27,139
make,26,140
"you,",26,141
upon,26,142
other,26,143
last,26,144
"said,",26,145
going,26,146
poor,26,147
come,26,148
rather,25,149
look,25,150
now,25,151
without,24,152
took,24,153
i'll,24,154
hatter,24,155
soon,24,156
him,23,157
'it's,23,158
dormouse,23,159
than,23,160
felt,23,161
good,23,162
three,23,163
two,22,164
shall,22,165
next,22,166
gryphon,22,167
nothing,22,168
getting,21,169
'if,21,170
too,21,171
won't,21,172
moment,21,173
half,21,174
same,21,175
"them,",21,176
wish,21,177
another,21,178
right,21,179
added,20,180
mouse,20,181
while,20,182
i've,20,183
find,20,184
'i'm,20,185
'the,20,186
"'well,",20,187
before,19,188
"however,",19,189
"it,'",19,190
"'oh,",19,191
being,19,192
take,19,193
even,19,194
here,19,195
once,19,196
"and,",19,197
till,19,198
things,19,199
"her,",18,200
eyes,18,201
voice,18,202
tried,18,203
cried,18,204
"this,",17,205
that's,17,206
you're,17,207
"queen,",17,208
ever,17,209
sort,17,210
sat,17,211
"tone,",16,212
it.,16,213
use,16,214
there's,16,215
under,16,216
we,16,217
hare,16,218
doesn't,16,219
"is,",16,220
curious,16,221
eat,16,222
sure,16,223
again.,16,224
alice;,16,225
turned,16,226
'how,16,227
gave,15,228
minute,15,229
away,15,230
'that,15,231
something,15,232
called,15,233
'that's,15,234
gryphon.,15,235
"king,",15,236
"voice,",15,237
duchess,15,238
wonder,15,239
cat,15,240
door,15,241
idea,14,242
both,14,243
replied,14,244
"gryphon,",14,245
set,14,246
anything,14,247
near,14,248
"was,",14,249
hear,14,250
"off,",14,251
'i've,14,252
words,14,253
"down,",14,254
hatter.,13,255
her.,13,256
through,13,257
saw,13,258
old,13,259
these,13,260
"out,",13,261
still,13,262
kept,13,263
ought,13,264
grow,13,265
let,13,266
ran,13,267
am,13,268
left,13,269
whole,13,270
again,13,271
anxiously,13,272
always,12,273
among,12,274
talking,12,275
hardly,12,276
used,12,277
many,12,278
behind,12,279
because,12,280
wouldn't,12,281
caterpillar.,12,282
chapter,12,283
every,12,284
may,12,285
end,12,286
remember,12,287
king.,12,288
perhaps,12,289
side,12,290
try,12,291
close,12,292
'of,12,293
seen,12,294
turning,12,295
knew,12,296
feet,11,297
"before,",11,298
'a,11,299
glad,11,300
whether,11,301
it?',11,302
hurried,11,303
queen.,11,304
makes,11,305
beginning,11,306
didn't,11,307
hand,11,308
course,11,309
wasn't,11,310
"first,",11,311
trying,11,312
deal,11,313
"mouse,",11,314
'we,11,315
'then,11,316
day,11,317
better,11,318
hare.,11,319
'not,11,320
caterpillar,11,321
"see,",11,322
saying,11,323
thinking,10,324
they're,10,325
having,10,326
sitting,10,327
"two,",10,328
voice.,10,329
everything,10,330
nearly,10,331
"hatter,",10,332
walked,10,333
"not,",10,334
done,10,335
