Word,Freq,Rank
the,3414,1
and,2043,2
to,1149,3
a,1002,4
he,993,5
of,811,6
was,675,7
in,604,8
little,569,9
his,550,10
that,459,11
it,457,12
she,399,13
they,386,14
i,363,15
you,344,16
for,328,17
as,323,18
said,304,19
had,286,20
but,277,21
with,277,22
so,273,23
when,263,24
at,260,25
her,257,26
on,242,27
is,230,28
all,216,29
not,208,30
were,187,31
came,178,32
him,171,33
one,165,34
there,163,35
be,160,36
from,157,37
out,153,38
very,150,39
could,148,40
have,144,41
then,144,42
up,131,43
will,127,44
this,122,45
my,117,46
went,114,47
their,112,48
them,110,49
down,108,50
would,108,51
who,105,52
great,105,53
"""i",103,54
me,98,55
old,96,56
are,92,57
do,91,58
what,91,59
"said,",89,60
by,89,61
into,88,62
saw,87,63
like,85,64
made,84,65
if,84,66
see,84,67
your,81,68
no,80,69
more,77,70
after,77,71
where,72,72
come,72,73
did,71,74
looked,70,75
king,69,76
over,69,77
time,67,78
away,66,79
just,66,80
go,66,81
about,65,82
big,63,83
good,63,84
make,62,85
put,61,86
ran,61,87
or,60,88
than,60,89
how,60,90
people,60,91
man,60,92
every,59,93
two,58,94
we,58,95
took,57,96
am,56,97
some,56,98
"him,",54,99
never,54,100
"it,",54,101
him.,54,102
know,53,103
mother,52,104
began,51,105
day,50,106
thought,50,107
can,49,108
much,49,109
father,49,110
once,48,111
heard,47,112
only,46,113
boy,45,114
other,45,115
long,45,116
take,44,117
stood,44,118
upon,43,119
got,43,120
margery,43,121
any,42,122
until,42,123
jackal,42,124
shall,42,125
an,41,126
back,41,127
red,41,128
which,41,129
many,40,130
way,40,131
men,40,132
own,40,133
beautiful,39,134
must,39,135
through,39,136
an',39,137
been,38,138
"""you",37,139
think,37,140
last,37,141
"""oh,",37,142
till,36,143
something,36,144
should,36,145
look,36,146
gingerbread,35,147
white,35,148
while,35,149
now,35,150
soon,35,151
before,35,152
eat,35,153
"me,",34,154
help,34,155
fir,34,156
door,34,157
mouse,33,158
left,33,159
get,33,160
lion,33,161
always,33,162
called,33,163
asked,33,164
poor,33,165
prince,33,166
grew,33,167
still,32,168
felt,32,169
let,32,170
round,32,171
tailor,32,172
along,32,173
"you,",32,174
tree,31,175
want,31,176
it.,31,177
too,31,178
head,31,179
told,31,180
such,31,181
lived,30,182
"day,",30,183
knew,30,184
them.,30,185
hard,30,186
"up,",29,187
these,29,188
nightingale,29,189
thing,29,190
tiny,28,191
wanted,28,192
emperor,28,193
"them,",28,194
another,28,195
fox,28,196
next,28,197
end,28,198
gold,28,199
give,28,200
"""the",28,201
work,27,202
himself,27,203
found,27,204
gave,27,205
"that,",27,206
"""and",27,207
david,27,208
don't,27,209
ever,27,210
"then,",27,211
turned,27,212
"said,--",26,213
going,26,214
quite,26,215
because,26,216
story,26,217
kept,26,218
garden,26,219
used,26,220
"""it",26,221
home,26,222
sing,25,223
set,25,224
brother,25,225
pretty,25,226
country,25,227
even,25,228
i'll,25,229
children,25,230
kind,25,231
city,25,232
said.,24,233
brought,24,234
"out,",24,235
has,24,236
tell,24,237
"""what",23,238
catch,23,239
sent,23,240
house,23,241
its,23,242
enough,23,243
new,23,244
find,23,245
most,23,246
small,23,247
place,23,248
"""but",22,249
first,22,250
sat,22,251
cannot,22,252
"was,",22,253
again,22,254
struck,22,255
run,21,256
hold,21,257
"man,",21,258
happy,21,259
strong,21,260
things,21,261
far,21,262
fast,21,263
tiger,21,264
"down,",21,265
"""who",20,266
hear,20,267
three,20,268
sweet,20,269
dear,20,270
off,20,271
wind,20,272
"there,",20,273
became,19,274
us,19,275
without,19,276
leaves,19,277
"""that",19,278
wife,19,279
carried,19,280
near,19,281
well,18,282
fine,18,283
"again,",18,284
might,18,285
each,18,286
robert,18,287
cut,18,288
cherry,18,289
eyes,18,290
"""a",18,291
here,18,292
may,18,293
field,18,294
cried,18,295
nothing,18,296
wonderful,18,297
keep,18,298
under,17,299
"last,",17,300
anything,17,301
those,17,302
tried,17,303
better,17,304
"mother,",17,305
"this,",17,306
our,17,307
hermit,17,308
"brahmin,",17,309
fell,16,310
killed,16,311
home.,16,312
right,16,313
music,16,314
trees,16,315
earth,16,316
horse,16,317
king's,16,318
giant,16,319
voice,16,320
whole,16,321
water,16,322
"home,",15,323
live,15,324
food,15,325
everything,15,326
night,15,327
opened,15,328
"water,",15,329
face,15,330
"""yes,",15,331
"time,",15,332
against,15,333
court,15,334
terrible,15,335
king.,15,336
years,15,337
care,15,338
laughed,15,339
almost,15,340
*,15,341
hand,15,342
again.,15,343
lazy,15,344
"and,",15,345
best,15,346
ground,14,347
green,14,348
couldn't,14,349
jack,14,350
courtiers,14,351
done,14,352
"her,",14,353
alligator,14,354
same,14,355
bag,14,356
"away,",14,357
full,14,358
can't,14,359
margaret,14,360
hen,14,361
mighty,14,362
jackal.,14,363
wait,14,364
grey,14,365
seemed,14,366
young,14,367
morning,14,368
really,14,369
liked,14,370
show,13,371
"so,",13,372
"me!""",13,373
"on,",13,374
lay,13,375
"""if",13,376
margery's,13,377
"night,",13,378
suddenly,13,379
few,13,380
loved,13,381
castle,13,382
carry,13,383
open,13,384
behind,13,385
does,13,386
world,13,387
ground.,13,388
statue,13,389
child,13,390
fairy,13,391
half-chick,13,392
worked,13,393
read,13,394
kill,13,395
across,13,396
woman,13,397
"""i'll",12,398
happened,12,399
land,12,400
heart,12,401
brahmin,12,402
says,12,403
pull,12,404
able,12,405
"king,",12,406
stone,12,407
"hoppity-kick,",12,408
elsa,12,409
named,12,410
life,12,411
toward,12,412
except,12,413
wee,12,414
dark,12,415
wish,12,416
"too,",12,417
hole,12,418
palace,12,419
wicked,12,420
"head,",12,421
save,12,422
strange,12,423
drove,12,424
mr,12,425
shut,12,426
rid,12,427
christmas,12,428
servants,12,429
louisa,12,430
nice,12,431
rolled,12,432
girl,12,433
there.,12,434
himself.,11,435
"boy,",11,436
love,11,437
me.,11,438
emperor's,11,439
early,11,440
"thought,",11,441
shoemaker,11,442
since,11,443
sound,11,444
straight,11,445
taken,11,446
tortoise,11,447
shone,11,448
bad,11,449
looking,11,450
hidden,11,451
lovely,11,452
jumped,11,453
looks,11,454
stories,11,455
"father,",11,456
rest,11,457
high,11,458
her.,11,459
baby,11,460
everybody,11,461
grow,11,462
"now,",11,463
"""how",11,464
flew,11,465
brown,11,466
fair,11,467
"by,",11,468
man's,11,469
clock,11,470
"came,",11,471
seen,11,472
sang,11,473
"you,""",11,474
thou,10,475
money,10,476
epaminondas,10,477
wise,10,478
thin,10,479
sitting,10,480
tail,10,481
royal,10,482
filled,10,483
shoes,10,484
house.,10,485
flowers,10,486
caught,10,487
"little,",10,488
gone,10,489
didn't,10,490
cow,10,491
"off,",10,492
trundle-bed,10,493
roll,10,494
"dear,",10,495
ate,10,496
heavenly,10,497
sure,10,498
"say,",10,499
river,10,500
nobody,10,501
harp,10,502
between,10,503
drew,10,504
dagda,10,505
"work,",10,506
all.,10,507
"house,",10,508
minute,10,509
light,10,510
started,10,511
"jackal,",10,512
"still,",10,513
often,10,514
ask,10,515
bread,10,516
rollaround,10,517
tailor.,10,518
days,10,519
ten,10,520
"lion,",10,521
bright,10,522
piece,10,523
threw,10,524
soul,10,525
sicily,10,526
bring,10,527
half,10,528
thy,10,529
being,10,530
was.,10,531
artist,10,532
camel,10,533
corn,10,534
sit,9,535
held,9,536
gottlieb,9,537
rain,9,538
"friend,",9,539
sprang,9,540
"course,",9,541
snow,9,542
bed,9,543
middle,9,544
born,9,545
christ,9,546
carefully,9,547
beside,9,548
moon,9,549
grown,9,550
"himself,",9,551
presently,9,552
given,9,553
stole,9,554
elephant,9,555
exactly,9,556
fairies,9,557
bought,9,558
"know,",9,559
top,9,560
real,9,561
saved,9,562
"morning,",9,563
touched,9,564
begged,9,565
"door,",9,566
"way,",9,567
"fox,",9,568
play,9,569
"long,",9,570
part,9,571
thinking,9,572
midst,9,573
boat,9,574
sun,9,575
magic,9,576
stay,9,577
soft,9,578
"""do",9,579
friend,9,580
mountain,9,581
walked,9,582
bit,9,583
"""no,",9,584
why,9,585
stopped,9,586
paw,9,587
"about,",9,588
sometimes,9,589
wrote,9,590
room,9,591
plough,9,592
"eyes,",9,593
ready,9,594
hands,9,595
"woman,",9,596
"tree,",9,597
"more,",9,598
day.,9,599
say,9,600
"horse,",8,601
coming,8,602
evening,8,603
"""it's",8,604
crabs,8,605
among,8,606
else,8,607
brahmin.,8,608
rose,8,609
"nightingale,",8,610
shiny,8,611
"air,",8,612
"well,",8,613
mouse.,8,614
pushed,8,615
"""little",8,616
running,8,617
beat,8,618
"trees,",8,619
"me,""",8,620
art,8,621
ye,8,622
fields,8,623
remembered,8,624
remember,8,625
cloud,8,626
bade,8,627
women,8,628
people.,8,629
talk,8,630
bowed,8,631
around,8,632
above,8,633
low,8,634
said;,8,635
angel,8,636
lying,8,637
"cow,",8,638
surely,8,639
grass,8,640
roared,8,641
times,8,642
wonder,8,643
"earth,",8,644
"margery,",8,645
"david,",8,646
yellow,8,647
pulled,8,648
sea,8,649
"king!""",8,650
"cage?""",8,651
plant,8,652
salt,8,653
"it.""",8,654
shook,8,655
sad,8,656
margery.,8,657
"mammy,""",8,658
perhaps,8,659
whale,8,660
"""my",8,661
outside,8,662
"""he",8,663
grind,8,664
death,8,665
begin,8,666
tied,8,667
tears,8,668
fight,8,669
ould,8,670
fox.,8,671
tired,8,672
"i,""",7,673
"""why",7,674
covered,7,675
can!,7,676
rope,7,677
in.,7,678
safely,7,679
garden.,7,680
glad,7,681
four,7,682
"back,",7,683
"girl,",7,684
philistine,7,685
life.,7,686
song,7,687
him;,7,688
"""god",7,689
"""this",7,690
pot,7,691
alligator!,7,692
"voice,",7,693
"them.""",7,694
stones,7,695
saul,7,696
dropped,7,697
anyone,7,698
"me.""",7,699
lord,7,700
path,7,701
sons,7,702
"over,",7,703
whom,7,704
fly,7,705
"tiger,",7,706
gone.,7,707
foolish,7,708
side,7,709
"""i'm",7,710
seeds,7,711
helped,7,712
wid,7,713
beasts,7,714
"""they",7,715
"ran,",7,716
"""not",7,717
acorn,7,718
god.,7,719
wild,7,720
stuck,7,721
danced,7,722
frode,7,723
fear,7,724
funny,7,725
free,7,726
before.,7,727
indeed,7,728
"""when",7,729
father.,7,730
move,7,731
"oh,",7,732
girls,7,733
"bed,",7,734
"life,",7,735
book,7,736
wearing,7,737
ring,7,738
about.,7,739
"""now",7,740
"once,",7,741
spoke,7,742
"one,",7,743
"leaves,",7,744
"epaminondas,",7,745
"world,",7,746
i'm,7,747
"you!""",7,748
armies,7,749
doing,7,750
elves,7,751
wore,7,752
"""there",7,753
raised,7,754
