Word,Freq,Rank
the,7599,1
to,5019,2
and,4593,3
of,3711,4
a,3068,5
i,2557,6
he,2293,7
in,2161,8
was,2126,9
you,2091,10
his,1834,11
that,1772,12
for,1720,13
it,1434,14
as,1374,15
said,1344,16
not,1344,17
her,1322,18
with,1307,19
she,1231,20
had,1136,21
at,1099,22
be,1094,23
but,1018,24
have,949,25
my,921,26
is,897,27
this,840,28
all,799,29
they,737,30
by,680,31
your,671,32
which,640,33
who,634,34
so,624,35
him,575,36
were,529,37
when,521,38
what,502,39
if,492,40
are,487,41
would,486,42
from,478,43
me,476,44
will,473,45
upon,461,46
no,461,47
their,431,48
mr.,430,49
one,413,50
do,407,51
little,403,52
could,402,53
"""i",395,54
out,394,55
or,381,56
on,365,57
good,354,58
up,347,59
we,339,60
very,338,61
been,329,62
into,306,63
some,299,64
them,299,65
about,298,66
did,298,67
never,294,68
mrs.,293,69
know,292,70
an,285,71
don't,272,72
now,271,73
see,268,74
more,264,75
should,260,76
shall,259,77
must,247,78
"you,",240,79
make,237,80
than,236,81
am,235,82
much,235,83
has,234,84
go,234,85
how,233,86
give,227,87
can,226,88
any,225,89
cried,222,90
great,221,91
old,219,92
these,217,93
came,215,94
there,210,95
like,210,96
just,203,97
let,200,98
come,198,99
"it,",196,100
such,195,101
after,193,102
take,191,103
own,188,104
i'm,187,105
tell,185,106
"""and",184,107
"him,",181,108
think,181,109
time,179,110
before,177,111
well,174,112
only,172,113
went,169,114
thought,167,115
miss,165,116
down,165,117
"""but",162,118
heard,159,119
may,158,120
saw,155,121
made,153,122
say,153,123
"me,",153,124
look,150,125
i'll,146,126
"and,",144,127
us,141,128
"""you",137,129
without,136,130
sure,136,131
"he,",136,132
put,135,133
poor,135,134
then,133,135
where,129,136
first,127,137
found,127,138
young,126,139
day,126,140
"""oh,",125,141
might,122,142
though,122,143
susan,122,144
being,121,145
father,118,146
here,118,147
because,117,148
get,117,149
two,117,150
looked,117,151
going,116,152
"now,",116,153
most,115,154
it.,115,155
till,115,156
told,114,157
our,112,158
himself,112,159
always,109,160
many,109,161
last,109,162
man,108,163
lady,106,164
him.,106,165
ever,105,166
those,105,167
nothing,104,168
hear,103,169
better,101,170
knew,101,171
long,101,172
over,100,173
money,100,174
quite,99,175
won't,99,176
can't,98,177
left,98,178
"them,",98,179
soon,98,180
want,97,181
got,97,182
other,96,183
gave,95,184
back,95,185
find,95,186
few,95,187
took,94,188
"her,",94,189
lord,94,190
whom,93,191
off,93,192
boy,92,193
de,92,194
"she,",92,195
"""what",91,196
whilst,91,197
too,90,198
looking,89,199
something,89,200
round,89,201
new,89,202
it's,89,203
wish,88,204
best,88,205
next,85,206
i've,85,207
"then,",85,208
half,83,209
ask,83,210
"""the",83,211
anything,82,212
people,82,213
done,82,214
same,82,215
set,80,216
ran,80,217
another,80,218
speak,79,219
way,79,220
through,78,221
sir,77,222
"sir,",77,223
thing,77,224
"""it",77,225
that's,77,226
every,77,227
pay,77,228
"oh,",76,229
house,75,230
enough,75,231
away,74,232
amongst,74,233
stood,74,234
whole,74,235
leave,73,236
them.,72,237
"""that",72,238
hope,72,239
yet,72,240
under,71,241
you'll,71,242
it;,71,243
even,70,244
work,69,245
"well,",69,246
word,69,247
children,69,248
show,68,249
fine,68,250
"know,",68,251
mother,68,252
keep,68,253
love,67,254
continued,67,255
"said,",67,256
called,67,257
"time,",66,258
cecilia,66,259
"""no,",66,260
still,66,261
"that,",65,262
exclaimed,65,263
"it.""",65,264
mind,65,265
having,64,266
piedro,64,267
replied,64,268
"archer,",63,269
moment,63,270
everybody,63,271
does,63,272
"""well,",63,273
why,62,274
archer,62,275
"arthur,",62,276
"man,",62,277
call,62,278
given,62,279
"""yes,",62,280
"do,",61,281
you.,61,282
"however,",60,283
full,60,284
"day,",60,285
"father,",60,286
name,60,287
buy,59,288
"susan,",59,289
"sir,""",59,290
hand,59,291
asked,59,292
seen,59,293
me.,58,294
"but,",58,295
"ma'am,",58,296
"why,",58,297
began,58,298
afraid,58,299
cannot,58,300
morning,58,301
nor,58,302
glad,57,303
friend,57,304
"sure,",57,305
dear,57,306
there's,57,307
since,56,308
just.,56,309
"here,",56,310
attorney,56,311
voice,56,312
door,56,313
mary,55,314
rather,55,315
several,55,316
"you.""",55,317
turned,55,318
immediately,55,319
talb.,55,320
sent,54,321
her.,54,322
against,54,323
arthur,54,324
each,54,325
believe,54,326
"francisco,",53,327
often,53,328
taken,53,329
bad,53,330
please,53,331
its,53,332
bit,52,333
home,52,334
near,52,335
"who,",52,336
"""if",52,337
herself,52,338
things,52,339
"boy,",51,340
j.,51,341
head,51,342
francisco,51,343
part,51,344
mean,51,345
master,51,346
eyes,51,347
making,51,348
farmer,51,349
brought,50,350
three,50,351
scarcely,50,352
"not,",50,353
"indeed,",50,354
white,50,355
"me.""",50,356
again,50,357
"up,",49,358
him;,49,359
felt,49,360
right,49,361
added,49,362
room,49,363
"himself,",49,364
obliged,49,365
dr.,49,366
help,49,367
coming,48,368
wheel.,48,369
hands,48,370
thank,48,371
care,48,372
hold,48,373
gentleman,47,374
"hand,",47,375
"piedro,",47,376
father's,47,377
once,47,378
"""how",47,379
used,47,380
person,47,381
"say,",47,382
whose,47,383
you;,47,384
repeated,46,385
*,45,386
"is,",45,387
towards,45,388
"jem,",45,389
"hal,",45,390
bring,45,391
jem,44,392
nobody,44,393
rory.,44,394
behind,44,395
end,44,396
ready,44,397
honest,44,398
small,44,399
"door,",44,400
"morning,",43,401
"cecilia,",43,402
large,43,403
opened,43,404
burs.,43,405
"""why,",43,406
pretty,42,407
years,42,408
"""to",42,409
reason,42,410
present,42,411
"again,",42,412
"mother,",42,413
"""he",41,414
pleased,41,415
need,41,416
stopped,41,417
"no,",40,418
"yes,",40,419
"was,",40,420
paid,40,421
promise,40,422
taking,40,423
"house,",40,424
both,40,425
leonora,40,426
talbot,40,427
turning,39,428
boys,39,429
stand,39,430
barbara,39,431
play,39,432
least,39,433
"pray,",39,434
sorry,39,435
hat,39,436
brother,39,437
guinea,39,438
promised,39,439
franklin,39,440
comes,39,441
night,38,442
place,38,443
fresh,38,444
friends,38,445
"friend,",38,446
able,38,447
here's,38,448
"""my",38,449
"way,",37,450
ladies,37,451
use,37,452
answer,37,453
deal,37,454
susan's,37,455
along,37,456
"this,",37,457
me;,37,458
"""i'm",37,459
else,36,460
gone,36,461
fond,36,462
ha!,36,463
"so,",36,464
piece,36,465
business,36,466
"frederick,",36,467
passed,35,468
he'll,35,469
threw,35,470
"hardy,",35,471
far,35,472
returned,35,473
whether,35,474
"on,",35,475
theresa,35,476
open,35,477
fast,35,478
happy,35,479
"""for",35,480
almost,35,481
answered,35,482
held,34,483
lost,34,484
length,34,485
bell,34,486
pleasure,34,487
become,34,488
world,34,489
case,34,490
"me,""",34,491
matter,34,492
you'd,34,493
perhaps,34,494
interrupted,34,495
loveit,33,496
rose,33,497
pulled,33,498
wait,33,499
"""let",33,500
son,33,501
hour,33,502
mistress,33,503
"you,""",33,504
broken,33,505
"fisher,",33,506
"brother,",33,507
john,33,508
mother's,33,509
basket,33,510
carry,33,511
"lady,",32,512
"you?""",32,513
remember,32,514
high,32,515
"ma'am,""",32,516
"ben,",32,517
frederick,32,518
try,32,519
"leonora,",32,520
"herself,",32,521
says,32,522
between,32,523
he's,32,524
words,32,525
"which,",31,526
side,31,527
fair,31,528
louisa,31,529
"all,",31,530
bid,31,531
became,31,532
"it?""",31,533
landlord.,31,534
"friends,",31,535
woman,31,536
honour,31,537
talk,31,538
sat,31,539
face,31,540
"loveit,",31,541
stay,31,542
what's,31,543
none,31,544
"""we",31,545
hal,31,546
walked,31,547
"come,",30,548
means,30,549
doing,30,550
five,30,551
send,30,552
lived,30,553
turn,30,554
enter,30,555
received,30,556
"it,""",29,557
live,29,558
understand,29,559
"""no,""",29,560
her;,29,561
hopes,29,562
bow,29,563
wished,29,564
companions,29,565
seemed,29,566
sort,29,567
taught,29,568
land.,29,569
everything,29,570
beg,29,571
"""this",29,572
party,29,573
village,29,574
cut,29,575
them;,29,576
forget,29,577
appeared,29,578
six,29,579
kept,29,580
"""then",29,581
myself,29,582
really,29,583
time.,29,584
rest,28,585
green,28,586
"voice,",28,587
louisa.,28,588
somers,28,589
instead,28,590
carried,28,591
"one,",28,592
beside,28,593
evening,28,594
truth,28,595
"""a",28,596
ten,28,597
"for,",28,598
hand.,28,599
"""mr.",27,600
"""is",27,601
"money,",27,602
"besides,",27,603
"""that's",27,604
"out,",27,605
rory,27,606
count,27,607
"see,",27,608
"home,",27,609
four,27,610
felix,27,611
door.,27,612
thinking,27,613
landlady.,27,614
"louisa,",27,615
"there,",27,616
"talbot,",27,617
sit,26,618
talking,26,619
m.,26,620
eat,26,621
eye,26,622
within,26,623
"good,",26,624
drawing,26,625
he.,26,626
makes,26,627
certain,26,628
lucy.,26,629
"""i'll",26,630
desired,26,631
ye,26,632
followed,26,633
farm.,26,634
window,26,635
black,26,636
impatient,26,637
favourite,26,638
known,26,639
standing,26,640
"work,",26,641
saying,26,642
during,26,643
showed,26,644
walk,26,645
"price,",26,646
follow,26,647
instant,25,648
character,25,649
finished,25,650
lay,25,651
"""your",25,652
"""not",25,653
it?,25,654
"down,",25,655
'em,25,656
certainly,25,657
fisher,25,658
"""so",25,659
"evening,",25,660
(aside).,25,661
anybody,25,662
themselves,25,663
begged,25,664
lawrence,25,665
hard,25,666
safe,25,667
return,25,668
"case,",25,669
longer,24,670
prize,24,671
price,24,672
sold,24,673
corkscrew,24,674
gold,24,675
maid,24,676
guineas,24,677
lamb,24,678
choose,24,679
"window,",24,680
"woman,",24,681
himself.,24,682
sitting,24,683
carlo,24,684
