Word,Freq,Rank
the,992,1
and,860,2
to,683,3
of,605,4
i,520,5
my,499,6
a,497,7
you,449,8
in,377,9
it,349,10
that,341,11
ham.,337,12
is,296,13
his,283,14
not,268,15
your,253,16
with,249,17
but,248,18
this,238,19
for,227,20
as,196,21
what,190,22
he,189,23
be,174,24
haue,171,25
me,164,26
so,153,27
will,139,28
our,130,29
we,126,30
are,117,31
him,116,32
no,114,33
if,110,34
on,108,35
shall,106,36
by,103,37
or,102,38
thou,101,39
king.,96,40
hor.,95,41
let,94,42
then,92,43
good,91,44
thy,90,45
all,87,46
from,86,47
they,86,48
do,85,49
how,85,50
lord,83,51
her,83,52
at,81,53
most,77,54
more,76,55
was,75,56
like,73,57
"lord,",73,58
enter,72,59
oh,71,60
now,68,61
come,67,62
would,66,63
'tis,62,64
qu.,62,65
may,61,66
laer.,60,67
there,60,68
know,59,69
ile,58,70
giue,58,71
must,57,72
hath,57,73
ophe.,56,74
did,56,75
should,54,76
an,53,77
which,53,78
make,52,79
why,52,80
when,51,81
where,51,82
such,51,83
vpon,50,84
pol.,49,85
very,49,86
am,48,87
their,48,88
them,45,89
some,45,90
had,44,91
rosin.,43,92
speake,43,93
selfe,43,94
doe,43,95
she,42,96
much,42,97
these,42,98
tell,41,99
hamlet,41,100
king,40,101
too,40,102
out,40,103
thee,39,104
one,39,105
well,38,106
polon.,38,107
vs,37,108
mine,37,109
thinke,37,110
go,36,111
yet,36,112
see,35,113
say,34,114
who,34,115
heere,34,116
lord?,33,117
th',33,118
"sir,",33,119
loue,33,120
take,32,121
can,32,122
thus,32,123
nor,32,124
mar.,31,125
"it,",31,126
could,31,127
o,31,128
man,31,129
"you,",30,130
time,29,131
clo.,29,132
father,29,133
"king,",28,134
might,28,135
looke,28,136
"him,",28,137
owne,28,138
doth,27,139
cannot,27,140
whose,27,141
"hamlet,",27,142
"come,",27,143
vp,26,144
were,26,145
pray,26,146
into,26,147
&,25,148
heare,25,149
hold,24,150
made,24,151
neuer,24,152
call,23,153
put,22,154
set,22,155
"i,",22,156
both,22,157
"me,",22,158
exeunt.,22,159
leaue,22,160
though,22,161
hamlet.,21,162
hast,21,163
"no,",20,164
against,20,165
sweet,20,166
guild.,20,167
two,20,168
euen,20,169
poore,19,170
those,19,171
till,19,172
heauen,19,173
him.,19,174
dead,19,175
deere,19,176
comes,19,177
great,19,178
i'th',19,179
fathers,18,180
night,18,181
"loue,",18,182
shew,18,183
head,18,184
"not,",18,185
osr.,18,186
thing,18,187
mother,18,188
play,18,189
nothing,18,190
exit,18,191
hee,18,192
"vs,",17,193
any,17,194
"horatio,",17,195
"well,",17,196
queene,17,197
about,17,198
does,17,199
sir,16,200
there's,16,201
indeed,16,202
world,16,203
beleeue,16,204
"so,",15,205
that's,15,206
"laertes,",15,207
goe,15,208
"selfe,",15,209
god,15,210
soule,15,211
art,15,212
"death,",15,213
keepe,15,214
bee,15,215
you:,15,216
old,15,217
makes,15,218
betweene,15,219
"heauen,",15,220
ere,15,221
this?,15,222
noble,15,223
meanes,15,224
"nay,",15,225
againe,15,226
me.,14,227
seene,14,228
since,14,229
kin.,14,230
before,14,231
ha's,14,232
feare,14,233
many,14,234
matter,14,235
faire,14,236
wee'l,13,237
therefore,13,238
"soule,",13,239
sent,13,240
still,13,241
you?,13,242
same,13,243
reynol.,13,244
"mother,",13,245
beare,13,246
part,13,247
it.,13,248
nature,13,249
enter.,13,250
"life,",13,251
hand,13,252
lord.,13,253
long,13,254
stand,13,255
players,13,256
mad,13,257
off,13,258
finde,13,259
liue,13,260
follow,13,261
madnesse,13,262
words,13,263
horatio,12,264
o're,12,265
other.,12,266
without,12,267
thoughts,12,268
something,12,269
saw,12,270
farre,12,271
once,12,272
better,12,273
"queene,",12,274
"father,",12,275
"this,",12,276
true,12,277
"now,",12,278
laertes,12,279
beene,12,280
bring,12,281
vse,12,282
other,11,283
verie,11,284
is't,11,285
each,11,286
dost,11,287
first,11,288
"time,",11,289
speech,11,290
"say,",11,291
life,11,292
day,11,293
nay,11,294
euer,11,295
away,11,296
welcome,11,297
downe,11,298
what's,11,299
after,11,300
heart,11,301
none,11,302
little,11,303
"ophelia,",11,304
eare,11,305
death,11,306
foule,10,307
marke,10,308
let's,10,309
denmarke,10,310
"is,",10,311
play.,10,312
barn.,10,313
fit,10,314
giuen,10,315
done,10,316
vertue,10,317
remember,10,318
ghost.,10,319
me?,10,320
forme,10,321
guil.,10,322
"be,",10,323
"oh,",10,324
england,10,325
"then,",10,326
being,10,327
goes,10,328
"indeed,",10,329
"downe,",10,330
end,10,331
excellent,10,332
him:,10,333
best,10,334
"night,",10,335
within,10,336
(as,9,337
cause,9,338
kinde,9,339
question,9,340
grace,9,341
so:,9,342
get,9,343
"heart,",9,344
me:,9,345
further,9,346
gho.,9,347
full,9,348
pyrrhus,9,349
"too,",9,350
"go,",9,351
rest,9,352
earth,9,353
hora.,9,354
draw,9,355
me;,9,356
'twere,9,357
"out,",9,358
eyes,9,359
thine,9,360
winde,9,361
polonius.,9,362
three,9,363
"againe,",9,364
"all,",9,365
thought,9,366
oft,9,367
ghost,9,368
sit,8,369
else,8,370
second,8,371
you.,8,372
while,8,373
that?,8,374
minde,8,375
fran.,8,376
came,8,377
sonne,8,378
sweare,8,379
"man,",8,380
way,8,381
both.,8,382
seeme,8,383
himselfe,8,384
please,8,385
fell,8,386
"sword,",8,387
deare,8,388
all.,8,389
thousand,8,390
watch,8,391
heard,8,392
"friends,",8,393
free,8,394
stay,8,395
wilt,8,396
newes,8,397
body,8,398
"earth,",8,399
yong,8,400
"what,",8,401
lay,8,402
brothers,8,403
last,8,404
euery,8,405
young,8,406
things,8,407
whole,8,408
"marry,",8,409
honest,8,410
seeke,8,411
businesse,8,412
"dead,",8,413
it:,7,414
marry,7,415
well:,7,416
within.,7,417
"away,",7,418
thee.,7,419
"god,",7,420
"on,",7,421
neere,7,422
answer,7,423
sword,7,424
doubt,7,425
meane,7,426
common,7,427
bar.,7,428
power,7,429
drinke,7,430
lye,7,431
ye,7,432
loue.,7,433
"fortinbras,",7,434
"know,",7,435
top,7,436
kings,7,437
now?,7,438
custome,7,439
selues,7,440
"day,",7,441
wee,7,442
right,7,443
friends,7,444
it?,7,445
through,7,446
passion,7,447
thanke,7,448
gaue,7,449
duty,7,450
daughter,7,451
reason,7,452
breath,7,453
almost,7,454
tongue,7,455
spirit,7,456
strange,7,457
walke,7,458
seemes,7,459
"himselfe,",7,460
"youth,",7,461
giues,7,462
hamlets,7,463
ayre,7,464
"madam,",7,465
"sonne,",7,466
you;,7,467
"done,",7,468
maiesty,7,469
breake,7,470
receiue,7,471
"gentlemen,",7,472
guildensterne.,7,473
bin,7,474
"thee,",7,475
"nature,",7,476
men,7,477
beseech,7,478
"fortune,",6,479
"do,",6,480
fortunes,6,481
alone,6,482
youth,6,483
greefe,6,484
iudgement,6,485
"will,",6,486
ought,6,487
fashion,6,488
vnderstand,6,489
reuenge,6,490
offence,6,491
here,6,492
takes,6,493
seruice,6,494
bad,6,495
fine,6,496
poyson,6,497
face,6,498
"gertrude,",6,499
"her,",6,500
"why,",6,501
"polonius,",6,502
false,6,503
alas,6,504
"vp,",6,505
"world,",6,506
hot,6,507
cast,6,508
foole,6,509
"them,",6,510
helpe,6,511
farewell.,6,512
eye,6,513
"watch,",6,514
purpose,6,515
it;,6,516
"that,",6,517
word,6,518
grow,6,519
"bed,",6,520
double,6,521
name,6,522
damned,6,523
keepes,6,524
queen.,6,525
shewes,6,526
blood,6,527
ophelia,6,528
he's,6,529
"gone,",6,530
fare,6,531
"rosincrance,",6,532
them.,6,533
"eyes,",6,534
hamlet?,6,535
"eye,",6,536
heauens,6,537
true:,6,538
bid,6,539
"more,",6,540
faith,6,541
needs,5,542
"which,",5,543
"friend,",5,544
"soft,",5,545
peece,5,546
"hand,",5,547
shalt,5,548
husband,5,549
fall,5,550
circumstance,5,551
"ho,",5,552
sir:,5,553
horatio.,5,554
ill,5,555
"o,",5,556
act,5,557
armes,5,558
"helpe,",5,559
scull,5,560
desperate,5,561
noise,5,562
late,5,563
age,5,564
graue,5,565
gracious,5,566
table,5,567
pardon,5,568
dayes,5,569
"blood,",5,570
ophelia.,5,571
hope,5,572
tis,5,573
"state,",5,574
"thoughts,",5,575
fellow,5,576
"england,",5,577
too't,5,578
woman,5,579
state,5,580
'gainst,5,581
buried,5,582
this:,5,583
look,5,584
"faith,",5,585
vilde,5,586
went,5,587
vnder,5,588
"fire,",5,589
so.,5,590
you'l,5,591
death.,5,592
guildensterne,5,593
not?,5,594
wager,5,595
found,5,596
teares,5,597
danish,5,598
queene.,5,599
wicked,5,600
for.,5,601
"spirit,",5,602
light,5,603
cries,5,604
mother.,5,605
fat,5,606
mee,5,607
pale,5,608
teach,5,609
whereon,5,610
neither,5,611
times,5,612
"he,",5,613
vnto,5,614
do's,5,615
lesse,5,616
them:,5,617
friend,5,618
generall,5,619
mothers,5,620
"hell,",5,621
honor,5,622
"heard,",5,623
conscience,5,624
"said,",5,625
anon,5,626
thinkes,5,627
fortinbras,5,628
"heere,",5,629
writ,5,630
players.,5,631
effect,5,632
drowne,5,633
in's,5,634
action,5,635
told,5,636
letters,5,637
laertes?,5,638
blacke,5,639
bed,5,640
hands,5,641
round,5,642
quiet,5,643
heere's,5,644
said,5,645
brother,5,646
sure,5,647
'twas,5,648
borne,5,649
saue,5,650
e'ene,5,651
mans,5,652
lost,5,653
onely,5,654
another,5,655
dread,5,656
play:,4,657
beard,4,658
ouer,4,659
lady,4,660
lord;,4,661
halfe,4,662
barnardo,4,663
sing,4,664
lies,4,665
not:,4,666
heart:,4,667
ground,4,668
dreame,4,669
in.,4,670
lend,4,671
fault,4,672
glad,4,673
gentleman,4,674
kill'd,4,675
"there,",4,676
"adue,",4,677
madam,4,678
whether,4,679
"thought,",4,680
seeming,4,681
damn'd,4,682
christian,4,683
visit,4,684
"cause,",4,685
ha?,4,686
treasure,4,687
"doe,",4,688
"tongue,",4,689
of.,4,690
french,4,691
"greefe,",4,692
"other,",4,693
away:,4,694
"voyce,",4,695
pate,4,696
'twill,4,697
meete,4,698
truth,4,699
presently,4,700
"end,",4,701
certaine,4,702
houre,4,703
gone,4,704
treason,4,705
shal,4,706
direct,4,707
report,4,708
sound,4,709
