Word,Freq,Rank
the,4881,1
and,2550,2
of,2539,3
a,2221,4
to,1547,5
in,1373,6
he,1280,7
that,1056,8
his,919,9
was,888,10
it,841,11
you,827,12
with,804,13
as,681,14
i,672,15
is,664,16
had,553,17
but,487,18
said,484,19
not,463,20
at,454,21
they,432,22
for,428,23
on,423,24
be,390,25
or,380,26
have,371,27
all,325,28
this,321,29
like,313,30
an,312,31
which,311,32
if,307,33
were,306,34
are,305,35
by,281,36
one,277,37
we,270,38
up,261,39
turnbull,250,40
"""i",244,41
him,241,42
from,239,43
man,227,44
there,221,45
into,216,46
macian,214,47
out,211,48
then,203,49
your,191,50
so,189,51
will,188,52
who,188,53
only,186,54
"turnbull,",182,55
about,175,56
their,173,57
two,172,58
when,172,59
what,171,60
some,171,61
do,158,62
more,158,63
my,151,64
been,143,65
other,143,66
them,143,67
no,141,68
would,138,69
even,136,70
very,134,71
"macian,",132,72
than,132,73
did,131,74
quite,127,75
little,125,76
am,122,77
has,122,78
seemed,121,79
down,120,80
could,115,81
after,113,82
any,111,83
us,108,84
know,104,85
really,104,86
can,102,87
made,102,88
looked,102,89
something,101,90
our,100,91
"said,",100,92
face,99,93
me,99,94
see,96,95
went,95,96
upon,94,97
almost,94,98
her,94,99
its,93,100
saw,92,101
she,92,102
may,91,103
"""you",91,104
still,91,105
over,90,106
thing,87,107
came,87,108
old,85,109
long,83,110
back,82,111
men,81,112
say,80,113
such,80,114
think,79,115
must,79,116
first,78,117
evan,77,118
now,76,119
great,75,120
should,75,121
come,75,122
under,74,123
sort,74,124
mr.,73,125
"""what",70,126
world,70,127
because,69,128
head,69,129
himself,69,130
"it,",68,131
just,68,132
same,68,133
might,67,134
don't,67,135
asked,67,136
through,67,137
found,66,138
cried,66,139
last,66,140
want,66,141
it.,66,142
whole,66,143
own,65,144
those,65,145
never,64,146
much,63,147
before,62,148
"""and",62,149
being,62,150
"""the",61,151
"""it",60,152
time,60,153
each,59,154
most,59,155
stood,59,156
yet,59,157
round,58,158
let,57,159
began,57,160
against,56,161
every,56,162
suddenly,55,163
eyes,55,164
where,55,165
answered,54,166
off,54,167
good,54,168
things,54,169
rather,53,170
"""but",53,171
"man,",53,172
voice,53,173
"""that",53,174
these,53,175
people,52,176
turned,52,177
fight,52,178
white,52,179
nothing,52,180
shall,51,181
turnbull.,51,182
always,51,183
god,51,184
behind,50,185
between,50,186
him.,49,187
red,49,188
garden,49,189
here,48,190
go,48,191
mean,47,192
away,47,193
thought,47,194
moment,47,195
black,47,196
again,47,197
without,46,198
once,46,199
got,46,200
mere,45,201
instant,44,202
another,44,203
towards,44,204
young,44,205
also,44,206
along,43,207
put,43,208
both,43,209
"""we",43,210
across,43,211
few,42,212
