Word,Freq,Rank
the,439,1
and,340,2
of,146,3
in,140,4
a,126,5
i,122,6
to,111,7
my,83,8
with,66,9
his,57,10
is,52,11
he,50,12
little,45,13
they,43,14
on,43,15
that,39,16
all,36,17
but,36,18
like,35,19
not,34,20
their,34,21
thou,33,22
her,33,23
from,32,24
thy,31,25
was,30,26
for,29,27
when,28,28
then,28,29
can,26,30
it,26,31
sweet,26,32
are,25,33
what,25,34
where,24,35
by,22,36
our,22,37
or,21,38
an,21,39
me,20,40
be,20,41
so,19,42
shall,19,43
thee,19,44
who,18,45
happy,18,46
does,17,47
every,17,48
have,17,49
&,17,50
down,16,51
love,16,52
if,16,53
as,16,54
human,16,55
she,15,56
joy,15,57
nor,15,58
why,15,59
till,15,60
never,15,61
am,14,62
upon,14,63
this,14,64
night,14,65
how,14,66
its,14,67
no,13,68
thel,13,69
see,13,70
we,13,71
while,13,72
mother,12,73
o,12,74
father,12,75
holy,12,76
did,12,77
hear,12,78
o'er,11,79
infant,11,80
your,11,81
weeping,11,82
sit,10,83
cloud,10,84
were,10,85
"love,",10,86
"night,",10,87
"sleep,",10,88
"lamb,",10,89
heard,10,90
oh,10,91
sorrow,9,92
him,9,93
know,9,94
--,9,95
god,9,96
"day,",9,97
tender,9,98
bright,9,99
white,9,100
lyca,8,101
away,8,102
over,8,103
child,8,104
virgin,8,105
green,8,106
round,8,107
rose,8,108
do,8,109
morning,8,110
come,8,111
wept,8,112
them,8,113
birds,8,114
hand,8,115
golden,8,116
voice,8,117
"father,",7,118
let,7,119
angel,7,120
at,7,121
garden,7,122
sing,7,123
"delight,",7,124
face,7,125
through,7,126
came,7,127
many,7,128
had,7,129
among,7,130
smiles,7,131
silent,7,132
thee?,7,133
now,7,134
song,7,135
doth,7,136
day,7,137
heaven,7,138
songs,7,139
you,7,140
image,7,141
children,7,142
tears,7,143
sleep,7,144
"peace,",7,145
saw,7,146
"me,",6,147
fear,6,148
art,6,149
cannot,6,150
sun,6,151
earth,6,152
pretty,6,153
may,6,154
up,6,155
light,6,156
both,6,157
go,6,158
trembling,6,159
lost,6,160
should,6,161
"thee,",6,162
heart,6,163
"voice,",6,164
laugh,6,165
"pity,",6,166
more,6,167
seek,6,168
boy,6,169
could,6,170
form,6,171
these,6,172
there,6,173
vales,6,174
