Word,Freq,Rank
and,627,1
the,578,2
i,508,3
to,446,4
of,351,5
you,335,6
that,271,7
a,258,8
is,240,9
not,225,10
in,220,11
my,209,12
he,171,13
it,170,14
for,167,15
his,155,16
bru.,153,17
your,149,18
with,147,19
haue,144,20
be,140,21
this,140,22
will,140,23
but,138,24
me,132,25
as,129,26
shall,125,27
what,114,28
thou,110,29
do,108,30
cassi.,107,31
so,106,32
are,106,33
caesar,103,34
him,100,35
we,95,36
by,94,37
our,93,38
brutus,89,39
then,89,40
all,86,41
if,84,42
no,81,43
did,70,44
when,66,45
o,66,46
on,66,47
they,65,48
good,65,49
let,64,50
was,62,51
come,62,52
their,61,53
at,57,54
enter,57,55
thy,56,56
know,55,57
am,55,58
"brutus,",52,59
"caesar,",51,60
from,49,61
now,49,62
ant.,48,63
vs,47,64
vpon,46,65
or,44,66
would,44,67
which,42,68
why,41,69
there,41,70
some,41,71
heere,41,72
cassius,39,73
cask.,38,74
should,38,75
them,38,76
antony,37,77
such,37,78
these,37,79
brut.,37,80
caesars,37,81
must,36,82
like,36,83
men,35,84
were,35,85
noble,35,86
go,35,87
hath,35,88
giue,35,89
tell,35,90
thee,35,91
"him,",34,92
may,34,93
yet,34,94
heare,33,95
how,32,96
man,32,97
well,31,98
see,31,99
where,31,100
an,31,101
"me,",30,102
"cassius,",29,103
stand,29,104
one,29,105
euery,28,106
caes,28,107
who,28,108
luc.,28,109
most,28,110
had,27,111
doth,27,112
loue,26,113
more,26,114
vp,26,115
speake,26,116
make,25,117
"you,",25,118
"antony,",25,119
great,25,120
any,24,121
nor,24,122
much,23,123
too,23,124
take,22,125
art,22,126
exeunt.,22,127
'tis,22,128
lord,22,129
selfe,22,130
"men,",21,131
cas.,21,132
till,21,133
day,21,134
beare,21,135
out,21,136
marke,20,137
looke,20,138
mine,20,139
thinke,20,140
can,19,141
"i,",19,142
messa.,19,143
"sir,",19,144
octa.,18,145
feare,18,146
"caska,",17,147
could,17,148
hand,17,149
bid,17,150
say,17,151
time,17,152
leaue,17,153
"rome,",17,154
rome,17,155
about,16,156
por.,16,157
put,16,158
"say,",16,159
finde,16,160
euen,16,161
wee'l,15,162
death,15,163
many,15,164
night,15,165
heart,15,166
stay,15,167
off,15,168
"man,",15,169
"will,",15,170
neuer,15,171
comes,15,172
"not,",15,173
"this,",14,174
word,14,175
caesar.,14,176
into,14,177
downe,14,178
done,14,179
you:,14,180
caesar:,14,181
"octauius,",14,182
all.,14,183
him:,14,184
doe,14,185
cinna.,13,186
"then,",13,187
vnto,13,188
romans,13,189
blood,13,190
wrong,13,191
"friends,",13,192
thus,13,193
things,13,194
mark,13,195
made,13,196
hast,13,197
ile,13,198
"night,",13,199
"messala,",12,200
therefore,12,201
set,12,202
morrow,12,203
best,12,204
bad,12,205
"day,",12,206
very,12,207
"thee,",12,208
honourable,12,209
exit,12,210
euer,11,211
"selfe,",11,212
true,11,213
"so,",11,214
ser.,11,215
"gods,",11,216
get,11,217
might,11,218
caius,11,219
hold,11,220
caes.,11,221
hee,11,222
name,11,223
"lucius,",11,224
send,11,225
other,11,226
1.,11,227
brutus.,11,228
follow,11,229
shew,11,230
before,10,231
master,10,232
"friend,",10,233
two,10,234
else,10,235
spirit,10,236
run,10,237
meete,10,238
bring,10,239
"lord,",10,240
thing,10,241
after,10,242
cass.,10,243
beares,10,244
"know,",10,245
2.,10,246
philippi,10,247
place,10,248
mighty,10,249
keepe,10,250
farewell,10,251
people,10,252
titinius,10,253
it.,9,254
sooth.,9,255
cry,9,256
"that,",9,257
owne,9,258
"now,",9,259
fire,9,260
those,9,261
being,9,262
peace,9,263
friend,9,264
so:,9,265
capitoll,9,266
"come,",9,267
meane,9,268
common,9,269
face,9,270
roman,9,271
"no,",9,272
"againe,",9,273
directly,9,274
gentle,9,275
march,9,276
sure,9,277
gods,9,278
liue,9,279
"death,",9,280
4.,9,281
"them,",9,282
fell,9,283
nothing,9,284
better,9,285
dye,9,286
onely,9,287
full,9,288
vnder,9,289
it:,8,290
bloody,8,291
"part,",8,292
octauius,8,293
him.,8,294
poore,8,295
strange,8,296
decius,8,297
metellus,8,298
"well,",8,299
turne,8,300
"hand,",8,301
"feare,",8,302
"peace,",8,303
first,8,304
yong,8,305
"heere,",8,306
forth,8,307
them.,8,308
none,8,309
rather,8,310
answer,8,311
me:,8,312
you?,8,313
"titinius,",8,314
way,8,315
brother,8,316
against,8,317
"fire,",8,318
3.,8,319
"speake,",8,320
words,8,321
please,8,322
friends,8,323
"dead,",8,324
"boy,",7,325
worthy,7,326
heard,7,327
strong,7,328
away,7,329
cause,7,330
seene,7,331
fall,7,332
beene,7,333
body,7,334
ill,7,335
she,7,336
"lucillius,",7,337
hearts,7,338
let's,7,339
cin.,7,340
2,7,341
"cause,",7,342
eyes,7,343
walke,7,344
sword,7,345
old,7,346
honor,7,347
sicke,7,348
"once,",7,349
saw,7,350
himselfe,7,351
"looke,",7,352
meanes,7,353
did'st,7,354
antony:,7,355
"what,",7,356
her,7,357
messala,7,358
hands,7,359
"cato,",7,360
read,7,361
welcome,7,362
so?,7,363
me?,7,364
"hands,",7,365
durst,7,366
me.,7,367
three,7,368
home,7,369
"yet,",7,370
"it,",7,371
stirre,7,372
3,7,373
part,6,374
ouer,6,375
"vs,",6,376
ides,6,377
pray,6,378
crowne,6,379
went,6,380
there's,6,381
enter.,6,382
"be,",6,383
tongue,6,384
"life,",6,385
deci.,6,386
"on,",6,387
seruant.,6,388
lucillius,6,389
cassius.,6,390
generall,6,391
clit.,6,392
lou'd,6,393
vile,6,394
fit,6,395
flye,6,396
pompeyes,6,397
last,6,398
hide,6,399
traitors,6,400
house,6,401
lord?,6,402
since,6,403
"world,",6,404
4,6,405
sleepe,6,406
ere,6,407
pardon,6,408
"downe,",6,409
"sayes,",6,410
lye,6,411
ye,6,412
loues,6,413
caska,6,414
"done,",6,415
remember,6,416
cassius:,6,417
came,6,418
dead,6,419
lucil.,6,420
call,6,421
both,6,422
portia,6,423
"eyes,",6,424
fetch,6,425
left,6,426
this:,6,427
