Word,Freq,Rank
the,645,1
and,544,2
to,383,3
of,337,4
i,314,5
a,238,6
that,220,7
my,201,8
in,195,9
is,175,10
you,166,11
with,152,12
not,145,13
his,143,14
macb.,137,15
it,134,16
be,132,17
your,126,18
our,123,19
but,120,20
haue,119,21
for,107,22
he,107,23
what,100,24
this,95,25
thou,85,26
as,85,27
we,82,28
so,78,29
which,78,30
me,74,31
enter,74,32
all,73,33
will,69,34
they,68,35
shall,67,36
are,65,37
no,63,38
their,62,39
macd.,58,40
vpon,58,41
then,57,42
from,56,43
him,56,44
thy,56,45
yet,52,46
hath,52,47
on,51,48
at,49,49
by,47,50
would,45,51
was,44,52
thee,43,53
good,42,54
if,42,55
vs,42,56
lady.,41,57
who,40,58
should,40,59
now,40,60
rosse.,40,61
when,39,62
make,38,63
did,38,64
were,38,65
do,38,66
or,37,67
like,37,68
more,37,69
come,36,70
must,36,71
her,36,72
let,35,73
'tis,35,74
ile,35,75
where,34,76
had,32,77
how,32,78
why,31,79
doe,30,80
great,30,81
may,29,82
there,29,83
am,29,84
exeunt.,29,85
an,28,86
macbeth,26,87
know,26,88
th',26,89
them,26,90
see,25,91
mal.,25,92
one,25,93
can,24,94
those,24,95
such,24,96
banq.,24,97
nor,24,98
"macbeth,",24,99
giue,24,100
scena,22,101
say,22,102
most,22,103
these,22,104
time,21,105
looke,21,106
la.,21,107
"me,",21,108
things,21,109
1.,21,110
vp,20,111
mine,20,112
speake,20,113
lenox.,20,114
till,20,115
cannot,20,116
doct.,20,117
thane,19,118
done,19,119
too,19,120
wife.,19,121
"time,",19,122
"him,",18,123
"king,",18,124
king.,18,125
"sir,",18,126
heare,18,127
she,17,128
night,17,129
some,17,130
take,17,131
"lord,",17,132
&,17,133
though,17,134
put,16,135
feare,16,136
do's,16,137
"well,",16,138
euery,16,139
man,16,140
all.,16,141
out,16,142
worthy,15,143
both,15,144
owne,15,145
poore,15,146
selfe,15,147
"come,",15,148
ere,15,149
malc.,15,150
king,15,151
ha's,15,152
heere,15,153
i'th',15,154
before,14,155
"i,",14,156
"you,",14,157
there's,14,158
could,14,159
son.,14,160
whose,14,161
against,14,162
3.,14,163
shew,14,164
pray,13,165
without,13,166
"banquo,",13,167
well,13,168
heart,13,169
strange,13,170
banquo,13,171
blood,13,172
bloody,13,173
sey.,13,174
o,13,175
o'th',13,176
each,13,177
"say,",13,178
haile,13,179
three,13,180
"it,",13,181
2.,12,182
nature,12,183
goe,12,184
into,12,185
god,12,186
what's,12,187
made,12,188
noble,12,189
new,12,190
neuer,12,191
nothing,12,192
keepe,12,193
exit,12,194
much,11,195
1,11,196
gent.,11,197
still,11,198
"not,",11,199
sleepe,11,200
dare,11,201
art,11,202
very,11,203
finde,11,204
leaue,11,205
way,11,206
"them,",11,207
day,11,208
comes,11,209
else,10,210
name,10,211
thinke,10,212
stand,10,213
mac.,10,214
go,10,215
whom,10,216
againe,10,217
lord,10,218
euen,10,219
heauen,10,220
about,9,221
two,9,222
that's,9,223
you:,9,224
being,9,225
get,9,226
"feare,",9,227
here,9,228
first,9,229
bring,9,230
thus,9,231
loue,9,232
beene,9,233
wood,9,234
royall,9,235
thought,9,236
life,9,237
me.,9,238
onely,9,239
full,9,240
tell,9,241
many,9,242
knock.,9,243
borne,9,244
within,9,245
macbeth.,9,246
it.,8,247
euer,8,248
"selfe,",8,249
any,8,250
heard,8,251
other,8,252
"sleepe,",8,253
highnesse,8,254
father,8,255
old,8,256
almost,8,257
2,8,258
