Word,Freq,Rank
the,659,1
he,650,2
and,512,3
to,416,4
of,337,5
that,287,6
a,283,7
was,257,8
it,227,9
had,210,10
buster,209,11
little,203,12
his,183,13
as,163,14
in,161,15
is,138,16
so,108,17
all,108,18
bear,107,19
for,101,20
at,100,21
farmer,99,22
brown's,97,23
but,97,24
one,95,25
joe,93,26
you,90,27
green,87,28
very,82,29
i,82,30
when,80,31
just,79,32
on,79,33
boy,79,34
they,79,35
if,71,36
then,70,37
there,69,38
him,65,39
with,63,40
what,63,41
be,61,42
up,58,43
out,58,44
didn't,55,45
see,53,46
have,52,47
who,49,48
said,48,49
could,47,50
great,47,51
blacky,46,52
no,45,53
would,45,54
from,44,55
big,44,56
old,42,57
down,41,58
this,41,59
were,41,60
been,40,61
some,40,62
know,39,63
looked,39,64
or,38,65
billy,38,66
sammy,37,67
about,36,68
it.,35,69
where,35,70
time,35,71
more,35,72
laughing,34,73
now,34,74
than,34,75
how,33,76
get,33,77
afraid,32,78
right,32,79
forest,32,80
fish,31,81
them,30,82
are,29,83
way,29,84
otter,29,85
away,28,86
over,28,87
pail,28,88
make,27,89
by,27,90
"""i",27,91
couldn't,27,92
any,26,93
trout,26,94
sure,25,95
berries,25,96
do,25,97
even,25,98
other,25,99
made,25,100
thought,24,101
come,24,102
frightened,24,103
has,24,104
thing,24,105
too,23,106
went,23,107
never,23,108
those,23,109
smiling,23,110
can,22,111
chatterer,22,112
grandfather,22,113
back,22,114
saw,22,115
people,22,116
much,21,117
came,21,118
"him,",21,119
until,21,120
into,21,121
did,21,122
think,21,123
pool,21,124
heard,20,125
"forest,",20,126
everybody,20,127
else,20,128
not,20,129
knew,20,130
something,19,131
go,19,132
bear.,19,133
such,19,134
which,19,135
will,19,136
believe,18,137
mr.,18,138
started,18,139
off,18,140
eyes,18,141
him.,18,142
ever,18,143
"see,",18,144
began,17,145
because,17,146
next,17,147
fat,17,148
behind,17,149
first,17,150
my,17,151
tell,17,152
long,16,153
enough,16,154
head,16,155
me,16,156
got,16,157
going,16,158
eat,16,159
caught,16,160
bad,16,161
keep,16,162
once,16,163
"pool,",15,164
fishing,15,165
mink,15,166
through,15,167
he.,15,168
brook,15,169
catch,15,170
most,15,171
i'll,15,172
reddy,15,173
felt,15,174
wasn't,15,175
himself.,14,176
forest.,14,177
must,14,178
found,14,179
isn't,14,180
don't,14,181
like,14,182
same,14,183
crow,14,184
should,13,185
them.,13,186
only,13,187
peter,13,188
jay,13,189
looking,13,190
find,13,191
things,13,192
pasture,13,193
red,13,194
run,13,195
still,13,196
kept,13,197
sat,13,198
seen,13,199
told,13,200
might,13,201
"bear,",13,202
himself,13,203
before,12,204
always,12,205
"brook,",12,206
seemed,12,207
tree,12,208
we,12,209
top,12,210
place,12,211
want,12,212
take,12,213
"is,",12,214
another,12,215
nothing,12,216
lot,12,217
