Word,Freq,Rank
the,7599,1
to,5019,2
and,4593,3
of,3711,4
a,3068,5
i,2557,6
he,2293,7
in,2161,8
was,2126,9
you,2091,10
his,1834,11
that,1772,12
for,1720,13
it,1434,14
as,1374,15
not,1344,16
said,1344,17
her,1322,18
with,1307,19
she,1231,20
had,1136,21
at,1099,22
be,1094,23
but,1018,24
have,949,25
my,921,26
is,897,27
this,840,28
all,799,29
they,737,30
by,680,31
your,671,32
which,640,33
who,634,34
so,624,35
him,575,36
were,529,37
when,521,38
what,502,39
if,492,40
are,487,41
would,486,42
from,478,43
me,476,44
will,473,45
no,461,46
upon,461,47
their,431,48
mr.,430,49
one,413,50
do,407,51
little,403,52
could,402,53
"""i",395,54
out,394,55
or,381,56
on,365,57
good,354,58
up,347,59
we,339,60
very,338,61
been,329,62
into,306,63
them,299,64
some,299,65
about,298,66
did,298,67
never,294,68
mrs.,293,69
know,292,70
an,285,71
don't,272,72
now,271,73
see,268,74
more,264,75
should,260,76
shall,259,77
must,247,78
"you,",240,79
make,237,80
than,236,81
much,235,82
am,235,83
go,234,84
has,234,85
how,233,86
give,227,87
can,226,88
any,225,89
cried,222,90
great,221,91
old,219,92
these,217,93
came,215,94
like,210,95
there,210,96
just,203,97
let,200,98
come,198,99
"it,",196,100
such,195,101
after,193,102
take,191,103
own,188,104
i'm,187,105
tell,185,106
"""and",184,107
"him,",181,108
think,181,109
time,179,110
before,177,111
well,174,112
only,172,113
went,169,114
thought,167,115
down,165,116
miss,165,117
"""but",162,118
heard,159,119
may,158,120
saw,155,121
say,153,122
"me,",153,123
made,153,124
look,150,125
i'll,146,126
"and,",144,127
us,141,128
"""you",137,129
without,136,130
sure,136,131
"he,",136,132
poor,135,133
put,135,134
then,133,135
where,129,136
first,127,137
found,127,138
day,126,139
young,126,140
"""oh,",125,141
might,122,142
susan,122,143
though,122,144
being,121,145
father,118,146
here,118,147
because,117,148
two,117,149
get,117,150
looked,117,151
"now,",116,152
going,116,153
it.,115,154
till,115,155
most,115,156
told,114,157
our,112,158
himself,112,159
many,109,160
always,109,161
last,109,162
man,108,163
him.,106,164
lady,106,165
ever,105,166
those,105,167
nothing,104,168
hear,103,169
knew,101,170
long,101,171
better,101,172
over,100,173
money,100,174
won't,99,175
quite,99,176
can't,98,177
left,98,178
soon,98,179
"them,",98,180
got,97,181
want,97,182
other,96,183
find,95,184
gave,95,185
back,95,186
few,95,187
"her,",94,188
lord,94,189
took,94,190
off,93,191
whom,93,192
"she,",92,193
boy,92,194
de,92,195
"""what",91,196
whilst,91,197
too,90,198
looking,89,199
something,89,200
it's,89,201
round,89,202
new,89,203
best,88,204
wish,88,205
"then,",85,206
next,85,207
i've,85,208
ask,83,209
half,83,210
"""the",83,211
people,82,212
same,82,213
done,82,214
anything,82,215
ran,80,216
another,80,217
set,80,218
speak,79,219
way,79,220
through,78,221
thing,77,222
every,77,223
that's,77,224
sir,77,225
"sir,",77,226
"""it",77,227
pay,77,228
"oh,",76,229
house,75,230
enough,75,231
whole,74,232
amongst,74,233
stood,74,234
away,74,235
leave,73,236
"""that",72,237
them.,72,238
hope,72,239
yet,72,240
under,71,241
you'll,71,242
it;,71,243
even,70,244
word,69,245
work,69,246
children,69,247
"well,",69,248
show,68,249
"know,",68,250
fine,68,251
mother,68,252
keep,68,253
love,67,254
called,67,255
"said,",67,256
continued,67,257
"time,",66,258
still,66,259
cecilia,66,260
"""no,",66,261
mind,65,262
exclaimed,65,263
"that,",65,264
"it.""",65,265
replied,64,266
piedro,64,267
having,64,268
does,63,269
everybody,63,270
"archer,",63,271
"""well,",63,272
moment,63,273
archer,62,274
"""yes,",62,275
"arthur,",62,276
call,62,277
given,62,278
"man,",62,279
why,62,280
you.,61,281
"do,",61,282
full,60,283
"day,",60,284
name,60,285
"father,",60,286
"however,",60,287
"sir,""",59,288
buy,59,289
seen,59,290
"susan,",59,291
asked,59,292
hand,59,293
"but,",58,294
me.,58,295
afraid,58,296
"why,",58,297
nor,58,298
"ma'am,",58,299
morning,58,300
cannot,58,301
began,58,302
dear,57,303
"sure,",57,304
friend,57,305
there's,57,306
glad,57,307
attorney,56,308
just.,56,309
door,56,310
since,56,311
"here,",56,312
voice,56,313
talb.,55,314
rather,55,315
mary,55,316
"you.""",55,317
turned,55,318
several,55,319
immediately,55,320
against,54,321
each,54,322
arthur,54,323
her.,54,324
believe,54,325
sent,54,326
taken,53,327
its,53,328
"francisco,",53,329
often,53,330
bad,53,331
please,53,332
"""if",52,333
"who,",52,334
home,52,335
herself,52,336
near,52,337
things,52,338
bit,52,339
head,51,340
part,51,341
master,51,342
j.,51,343
"boy,",51,344
making,51,345
mean,51,346
francisco,51,347
farmer,51,348
eyes,51,349
white,50,350
brought,50,351
three,50,352
"not,",50,353
again,50,354
"indeed,",50,355
scarcely,50,356
"me.""",50,357
him;,49,358
right,49,359
added,49,360
"up,",49,361
room,49,362
"himself,",49,363
dr.,49,364
obliged,49,365
help,49,366
felt,49,367
hold,48,368
care,48,369
thank,48,370
wheel.,48,371
hands,48,372
coming,48,373
"""how",47,374
person,47,375
you;,47,376
father's,47,377
whose,47,378
"hand,",47,379
"say,",47,380
gentleman,47,381
"piedro,",47,382
once,47,383
used,47,384
repeated,46,385
*,45,386
"jem,",45,387
towards,45,388
"hal,",45,389
"is,",45,390
bring,45,391
ready,44,392
small,44,393
nobody,44,394
honest,44,395
end,44,396
rory.,44,397
jem,44,398
"door,",44,399
behind,44,400
"""why,",43,401
large,43,402
"cecilia,",43,403
"morning,",43,404
burs.,43,405
opened,43,406
years,42,407
pretty,42,408
"mother,",42,409
"""to",42,410
reason,42,411
"again,",42,412
present,42,413
stopped,41,414
"""he",41,415
need,41,416
pleased,41,417
"was,",40,418
taking,40,419
"house,",40,420
"no,",40,421
paid,40,422
leonora,40,423
promise,40,424
talbot,40,425
both,40,426
"yes,",40,427
franklin,39,428
boys,39,429
promised,39,430
play,39,431
"pray,",39,432
guinea,39,433
brother,39,434
turning,39,435
barbara,39,436
hat,39,437
stand,39,438
least,39,439
comes,39,440
sorry,39,441
"""my",38,442
night,38,443
fresh,38,444
place,38,445
"friend,",38,446
here's,38,447
able,38,448
friends,38,449
"""i'm",37,450
"way,",37,451
answer,37,452
susan's,37,453
me;,37,454
use,37,455
along,37,456
ladies,37,457
deal,37,458
"this,",37,459
business,36,460
"so,",36,461
fond,36,462
gone,36,463
else,36,464
piece,36,465
"frederick,",36,466
ha!,36,467
whether,35,468
he'll,35,469
passed,35,470
fast,35,471
returned,35,472
happy,35,473
theresa,35,474
far,35,475
"on,",35,476
almost,35,477
threw,35,478
"""for",35,479
open,35,480
answered,35,481
"hardy,",35,482
lost,34,483
perhaps,34,484
become,34,485
"me,""",34,486
world,34,487
length,34,488
bell,34,489
case,34,490
pleasure,34,491
interrupted,34,492
matter,34,493
you'd,34,494
held,34,495
"you,""",33,496
son,33,497
broken,33,498
"""let",33,499
rose,33,500
hour,33,501
mistress,33,502
"fisher,",33,503
basket,33,504
wait,33,505
"brother,",33,506
carry,33,507
loveit,33,508
john,33,509
mother's,33,510
pulled,33,511
he's,32,512
"ma'am,""",32,513
between,32,514
remember,32,515
high,32,516
try,32,517
says,32,518
"ben,",32,519
words,32,520
"lady,",32,521
"you?""",32,522
"herself,",32,523
frederick,32,524
"leonora,",32,525
fair,31,526
"""we",31,527
side,31,528
"which,",31,529
louisa,31,530
none,31,531
stay,31,532
walked,31,533
bid,31,534
sat,31,535
became,31,536
"friends,",31,537
woman,31,538
what's,31,539
"loveit,",31,540
talk,31,541
"it?""",31,542
honour,31,543
"all,",31,544
hal,31,545
landlord.,31,546
face,31,547
five,30,548
"come,",30,549
means,30,550
doing,30,551
received,30,552
turn,30,553
send,30,554
lived,30,555
enter,30,556
everything,29,557
"""this",29,558
her;,29,559
"""no,""",29,560
understand,29,561
myself,29,562
land.,29,563
sort,29,564
hopes,29,565
kept,29,566
seemed,29,567
"it,""",29,568
six,29,569
cut,29,570
"""then",29,571
taught,29,572
beg,29,573
really,29,574
forget,29,575
bow,29,576
companions,29,577
them;,29,578
live,29,579
time.,29,580
appeared,29,581
party,29,582
village,29,583
wished,29,584
"""a",28,585
ten,28,586
"voice,",28,587
"for,",28,588
evening,28,589
beside,28,590
instead,28,591
truth,28,592
green,28,593
"one,",28,594
somers,28,595
carried,28,596
louisa.,28,597
hand.,28,598
rest,28,599
"money,",27,600
rory,27,601
felix,27,602
landlady.,27,603
"there,",27,604
"""that's",27,605
four,27,606
"out,",27,607
door.,27,608
"home,",27,609
"talbot,",27,610
"""mr.",27,611
"besides,",27,612
"""is",27,613
thinking,27,614
"louisa,",27,615
count,27,616
"see,",27,617
window,26,618
favourite,26,619
saying,26,620
black,26,621
certain,26,622
desired,26,623
followed,26,624
known,26,625
"""i'll",26,626
"good,",26,627
lucy.,26,628
sit,26,629
"work,",26,630
"price,",26,631
standing,26,632
walk,26,633
impatient,26,634
follow,26,635
showed,26,636
talking,26,637
ye,26,638
drawing,26,639
during,26,640
eat,26,641
m.,26,642
he.,26,643
within,26,644
farm.,26,645
makes,26,646
eye,26,647
"evening,",25,648
finished,25,649
"case,",25,650
lay,25,651
'em,25,652
"""your",25,653
instant,25,654
begged,25,655
hard,25,656
character,25,657
anybody,25,658
safe,25,659
themselves,25,660
"""not",25,661
"down,",25,662
it?,25,663
(aside).,25,664
return,25,665
fisher,25,666
"""so",25,667
certainly,25,668
lawrence,25,669
gold,24,670
"exclaimed,",24,671
ben,24,672
sister,24,673
sell,24,674
carlo,24,675
guineas,24,676
company,24,677
"woman,",24,678
you?,24,679
hands.,24,680
"window,",24,681
longer,24,682
observed,24,683
price,24,684
