Word,Freq,Rank
and,627,1
the,578,2
i,508,3
to,446,4
of,351,5
you,335,6
that,271,7
a,258,8
is,240,9
not,225,10
in,220,11
my,209,12
he,171,13
it,170,14
for,167,15
his,155,16
bru.,153,17
your,149,18
with,147,19
haue,144,20
will,140,21
this,140,22
be,140,23
but,138,24
me,132,25
as,129,26
shall,125,27
what,114,28
thou,110,29
do,108,30
cassi.,107,31
so,106,32
are,106,33
caesar,103,34
him,100,35
we,95,36
by,94,37
our,93,38
brutus,89,39
then,89,40
all,86,41
if,84,42
no,81,43
did,70,44
when,66,45
on,66,46
o,66,47
good,65,48
they,65,49
let,64,50
was,62,51
come,62,52
their,61,53
enter,57,54
at,57,55
thy,56,56
know,55,57
am,55,58
"brutus,",52,59
"caesar,",51,60
now,49,61
from,49,62
ant.,48,63
vs,47,64
vpon,46,65
would,44,66
or,44,67
which,42,68
why,41,69
some,41,70
heere,41,71
there,41,72
cassius,39,73
them,38,74
cask.,38,75
should,38,76
these,37,77
antony,37,78
brut.,37,79
such,37,80
caesars,37,81
must,36,82
like,36,83
hath,35,84
noble,35,85
were,35,86
giue,35,87
thee,35,88
go,35,89
tell,35,90
men,35,91
"him,",34,92
may,34,93
yet,34,94
heare,33,95
how,32,96
man,32,97
an,31,98
well,31,99
where,31,100
see,31,101
"me,",30,102
"cassius,",29,103
one,29,104
stand,29,105
caes,28,106
euery,28,107
most,28,108
who,28,109
luc.,28,110
had,27,111
doth,27,112
speake,26,113
vp,26,114
more,26,115
loue,26,116
make,25,117
"you,",25,118
great,25,119
"antony,",25,120
any,24,121
nor,24,122
too,23,123
much,23,124
take,22,125
lord,22,126
selfe,22,127
exeunt.,22,128
art,22,129
'tis,22,130
out,21,131
"men,",21,132
beare,21,133
till,21,134
day,21,135
cas.,21,136
looke,20,137
thinke,20,138
mine,20,139
marke,20,140
"i,",19,141
can,19,142
"sir,",19,143
messa.,19,144
feare,18,145
octa.,18,146
time,17,147
leaue,17,148
rome,17,149
hand,17,150
say,17,151
"rome,",17,152
could,17,153
bid,17,154
"caska,",17,155
about,16,156
por.,16,157
"say,",16,158
finde,16,159
euen,16,160
put,16,161
comes,15,162
"man,",15,163
stay,15,164
neuer,15,165
night,15,166
"not,",15,167
wee'l,15,168
many,15,169
off,15,170
"will,",15,171
heart,15,172
death,15,173
caesar.,14,174
all.,14,175
"octauius,",14,176
done,14,177
downe,14,178
doe,14,179
"this,",14,180
you:,14,181
caesar:,14,182
him:,14,183
word,14,184
into,14,185
"friends,",13,186
thus,13,187
blood,13,188
ile,13,189
things,13,190
vnto,13,191
romans,13,192
wrong,13,193
"night,",13,194
made,13,195
hast,13,196
"then,",13,197
mark,13,198
cinna.,13,199
therefore,12,200
set,12,201
morrow,12,202
"thee,",12,203
very,12,204
bad,12,205
best,12,206
"messala,",12,207
exit,12,208
honourable,12,209
"day,",12,210
"lucius,",11,211
shew,11,212
hee,11,213
"so,",11,214
other,11,215
hold,11,216
brutus.,11,217
true,11,218
get,11,219
"selfe,",11,220
send,11,221
might,11,222
euer,11,223
ser.,11,224
"gods,",11,225
follow,11,226
1.,11,227
caius,11,228
name,11,229
caes.,11,230
keepe,10,231
cass.,10,232
meete,10,233
"lord,",10,234
else,10,235
thing,10,236
two,10,237
master,10,238
after,10,239
people,10,240
2.,10,241
farewell,10,242
philippi,10,243
titinius,10,244
spirit,10,245
bring,10,246
run,10,247
before,10,248
"know,",10,249
"friend,",10,250
mighty,10,251
place,10,252
beares,10,253
"no,",9,254
meane,9,255
dye,9,256
"againe,",9,257
"now,",9,258
it.,9,259
owne,9,260
"death,",9,261
liue,9,262
directly,9,263
vnder,9,264
fell,9,265
better,9,266
"that,",9,267
peace,9,268
full,9,269
fire,9,270
so:,9,271
sure,9,272
march,9,273
face,9,274
"them,",9,275
gentle,9,276
friend,9,277
"come,",9,278
common,9,279
gods,9,280
being,9,281
4.,9,282
nothing,9,283
capitoll,9,284
sooth.,9,285
roman,9,286
cry,9,287
those,9,288
onely,9,289
decius,8,290
words,8,291
poore,8,292
"dead,",8,293
turne,8,294
bloody,8,295
strange,8,296
it:,8,297
answer,8,298
yong,8,299
"fire,",8,300
rather,8,301
none,8,302
"peace,",8,303
"heere,",8,304
brother,8,305
"hand,",8,306
way,8,307
octauius,8,308
"well,",8,309
him.,8,310
me:,8,311
forth,8,312
"titinius,",8,313
please,8,314
metellus,8,315
first,8,316
"speake,",8,317
them.,8,318
you?,8,319
against,8,320
3.,8,321
friends,8,322
"part,",8,323
"feare,",8,324
ill,7,325
did'st,7,326
durst,7,327
"what,",7,328
sword,7,329
"it,",7,330
fall,7,331
she,7,332
hearts,7,333
"cause,",7,334
heard,7,335
3,7,336
honor,7,337
her,7,338
"once,",7,339
2,7,340
stirre,7,341
messala,7,342
sicke,7,343
cin.,7,344
hands,7,345
seene,7,346
worthy,7,347
away,7,348
strong,7,349
me?,7,350
antony:,7,351
home,7,352
meanes,7,353
himselfe,7,354
"yet,",7,355
"lucillius,",7,356
"boy,",7,357
eyes,7,358
old,7,359
so?,7,360
body,7,361
saw,7,362
"cato,",7,363
three,7,364
walke,7,365
read,7,366
"hands,",7,367
"looke,",7,368
cause,7,369
let's,7,370
beene,7,371
me.,7,372
welcome,7,373
"on,",6,374
crowne,6,375
dead,6,376
talke,6,377
pardon,6,378
call,6,379
flye,6,380
there's,6,381
leade,6,382
deere,6,383
publius,6,384
lord?,6,385
tongue,6,386
sleepe,6,387
ye,6,388
right,6,389
cassius.,6,390
&,6,391
"true,",6,392
lou'd,6,393
"world,",6,394
portia,6,395
part,6,396
went,6,397
"done,",6,398
left,6,399
kill,6,400
seeke,6,401
since,6,402
fit,6,403
"strato,",6,404
"vs,",6,405
"loue,",6,406
pray,6,407
remember,6,408
"eyes,",6,409
came,6,410
"downe,",6,411
ides,6,412
vile,6,413
fetch,6,414
house,6,415
within,6,416
lucillius,6,417
ere,6,418
alarum.,6,419
last,6,420
loues,6,421
lucil.,6,422
clit.,6,423
enter.,6,424
caska,6,425
"life,",6,426
pindarus,6,427
