Word,Freq,Rank
the,9991,1
and,5276,2
of,4240,3
i,2778,4
to,2132,5
in,1838,6
a,1249,7
with,1237,8
you,1176,9
is,1074,10
my,1000,11
or,996,12
for,928,13
all,819,14
that,817,15
as,788,16
not,780,17
from,698,18
it,641,19
on,597,20
are,566,21
me,555,22
o,547,23
by,475,24
at,468,25
be,457,26
what,452,27
they,442,28
but,403,29
},381,30
his,373,31
see,370,32
your,360,33
their,358,34
have,346,35
we,309,36
"me,",292,37
one,291,38
he,288,39
this,280,40
these,275,41
will,260,42
through,259,43
shall,258,44
nor,256,45
no,254,46
now,247,47
out,245,48
do,241,49
its,237,50
old,228,51
so,227,52
them,224,53
am,224,54
thy,220,55
than,220,56
where,217,57
"you,",215,58
how,212,59
yet,212,60
there,207,61
who,206,62
more,203,63
was,186,64
any,183,65
every,180,66
those,179,67
thou,168,68
her,167,69
over,164,70
some,160,71
"all,",156,72
know,154,73
here,154,74
has,153,75
long,151,76
upon,149,77
up,148,78
"them,",146,79
great,145,80
life,142,81
man,141,82
an,134,83
many,132,84
ever,131,85
each,130,86
if,128,87
never,125,88
after,125,89
him,124,90
come,123,91
when,123,92
hear,121,93
love,120,94
then,120,95
men,119,96
day,116,97
only,116,98
own,114,99
like,113,100
give,113,101
thee,109,102
she,107,103
young,105,104
myself,104,105
our,103,106
earth,101,107
think,100,108
night,99,109
were,97,110
"earth,",96,111
soul,95,112
again,91,113
time,91,114
"love,",91,115
"thee,",91,116
too,90,117
can,90,118
little,89,119
would,89,120
down,88,121
while,88,122
face,88,123
good,85,124
new,85,125
before,84,126
look,84,127
body,84,128
"soul,",83,129
toward,82,130
which,82,131
go,82,132
under,80,133
"night,",80,134
me.,80,135
far,79,136
other,79,137
well,78,138
may,78,139
saw,77,140
make,77,141
till,74,142
hand,73,143
around,72,144
last,72,145
let,72,146
just,72,147
pass,71,148
others,71,149
"life,",71,150
"death,",70,151
nothing,70,152
take,70,153
"it,",70,154
song,68,155
much,68,156
without,68,157
back,68,158
strong,67,159
"world,",67,160
must,67,161
sing,66,162
full,64,163
same,64,164
perfect,63,165
dead,62,166
sea,62,167
such,62,168
thought,62,169
land,62,170
white,61,171
women,61,172
always,61,173
forth,61,174
years,60,175
"sea,",60,176
us,59,177
two,59,178
beautiful,59,179
city,59,180
does,57,181
"myself,",57,182
along,57,183
"here,",57,184
stand,57,185
voice,57,186
something,56,187
been,56,188
"not,",55,189
high,55,190
eyes,55,191
death,55,192
sweet,54,193
say,54,194
divine,54,195
pioneers!,54,196
world,53,197
still,53,198
you.,53,199
most,53,200
sun,53,201
cannot,53,202
close,52,203
"him,",52,204
"long,",52,205
mother,52,206
dear,51,207
light,51,208
even,51,209
woman,51,210
amid,51,211
could,50,212
"on,",50,213
away,50,214
heard,50,215
singing,50,216
"rest,",49,217
word,49,218
off,49,219
"time,",49,220
"day,",48,221
part,48,222
first,48,223
open,48,224
none,47,225
place,47,226
within,47,227
"air,",47,228
head,46,229
side,46,230
words,46,231
whole,46,232
tell,46,233
air,46,234
had,45,235
work,45,236
"see,",45,237
past,45,238
to-day,44,239
among,44,240
comes,44,241
"man,",44,242
ship,44,243
once,44,244
rest,44,245
things,43,246
"again,",43,247
should,43,248
"old,",42,249
silent,42,250
red,42,251
call,42,252
thing,42,253
leaves,42,254
states,42,255
"men,",42,256
war,42,257
whoever,41,258
best,41,259
fields,41,260
them.,41,261
alone,41,262
"only,",41,263
clear,41,264
rise,41,265
walk,41,266
really,41,267
thousand,41,268
vast,41,269
why,41,270
"eyes,",41,271
beyond,41,272
real,40,273
"hand,",40,274
soon,40,275
wild,40,276
round,40,277
"i,",40,278
lands,40,279
sound,40,280
very,39,281
behold,39,282
hands,39,283
welcome,38,284
"there,",38,285
days,38,286
chant,38,287
living,38,288
songs,37,289
large,37,290
another,37,291
leave,37,292
true,37,293
into,37,294
2,37,295
present,37,296
poems,37,297
passing,37,298
house,36,299
1,36,300
"alone,",36,301
joy,35,302
become,35,303
western,35,304
near,35,305
spirit,35,306
else,35,307
whatever,35,308
free,35,309
"lands,",34,310
show,34,311
[book,34,312
"woods,",34,313
"are,",34,314
children,34,315
"states,",34,316
"sun,",33,317
hold,33,318
black,33,319
stars,33,320
against,33,321
"itself,",33,322
sit,33,323
themselves,33,324
"body,",33,325
mighty,33,326
"face,",33,327
mine,33,328
faces,33,329
cities,33,330
dark,32,331
"more,",32,332
indeed,32,333
"songs,",32,334
"words,",32,335
about,32,336
itself,32,337
"land,",32,338
(the,32,339
"waves,",32,340
ships,32,341
hour,32,342
"now,",31,343
(i,31,344
feel,31,345
curious,31,346
"america,",31,347
also,31,348
"war,",31,349
way,31,350
"lo,",31,351
believe,31,352
"us,",31,353
put,31,354
you!,31,355
forever,30,356
3,30,357
"come,",30,358
shape,30,359
few,30,360
"years,",30,361
"one,",30,362
child,30,363
ye,30,364
broad,30,365
countless,29,366
"voice,",29,367
henceforth,29,368
yourself,29,369
strange,29,370
"light,",29,371
"sky,",29,372
"poems,",29,373
sight,29,374
"women,",29,375
touch,29,376
left,28,377
less,28,378
find,28,379
peace,28,380
grass,28,381
immortal,28,382
me!,28,383
waves,28,384
waters,28,385
above,28,386
man's,28,387
turn,28,388
moment,28,389
bring,28,390
ocean,28,391
behind,28,392
came,27,393
goes,27,394
"last,",27,395
low,27,396
done,27,397
need,27,398
whose,27,399
o'er,27,400
race,27,401
pass'd,27,402
keep,27,403
year,27,404
sleep,27,405
lips,27,406
"these,",27,407
"north,",27,408
did,27,409
god,26,410
duly,26,411
"space,",26,412
stands,26,413
name,26,414
"blood,",26,415
america,26,416
north,26,417
"cities,",26,418
fresh,26,419
heart,26,420
holding,26,421
"children,",26,422
"shore,",26,423
"go,",26,424
"south,",26,425
blood,26,426
unseen,26,427
"stars,",26,428
(for,26,429
surely,26,430
endless,25,431
fall,25,432
moon,25,433
"past,",25,434
son,25,435
"dead,",25,436
water,25,437
"god,",25,438
ground,25,439
might,25,440
home,25,441
whom,25,442
you?,25,443
me?,25,444
gray,25,445
west,25,446
often,25,447
human,25,448
return,25,449
right,25,450
fill,25,451
arms,25,452
music,25,453
lost,24,454
looking,24,455
sounds,24,456
"mother,",24,457
"west,",24,458
rising,24,459
early,24,460
speak,24,461
law,24,462
shore,24,463
summer,24,464
"nothing,",24,465
sail,24,466
swear,24,467
"head,",24,468
himself,24,469
"trees,",24,470
4,24,471
streets,24,472
huge,24,473
"good,",24,474
trees,23,475
lay,23,476
"same,",23,477
spread,23,478
death.,23,479
greater,23,480
delicate,23,481
shapes,23,482
common,23,483
holds,23,484
play,23,485
rich,23,486
distant,23,487
thee.,23,488
joys,23,489
served,23,490
waiting,23,491
"things,",23,492
"yet,",23,493
space,23,494
"up,",23,495
woods,23,496
"well,",23,497
"song,",23,498
waits,23,499
steady,23,500
calm,22,501
perhaps,22,502
fill'd,22,503
loved,22,504
single,22,505
small,22,506
feet,22,507
between,22,508
soul.,22,509
"mine,",22,510
deep,22,511
swiftly,22,512
understand,22,513
"peace,",22,514
though,22,515
"woman,",22,516
unknown,22,517
winds,22,518
look'd,22,519
wait,22,520
"water,",22,521
voices,22,522
"silent,",22,523
falling,22,524
"farms,",22,525
certain,22,526
breast,22,527
"nature,",22,528
walks,22,529
person,21,530
south,21,531
shores,21,532
three,21,533
all.,21,534
silently,21,535
poet,21,536
"city,",21,537
march,21,538
ages,21,539
clouds,21,540
made,21,541
"far,",21,542
modern,21,543
stood,21,544
hair,21,545
"thou,",21,546
age,21,547
bear,20,548
"politics,",20,549
equal,20,550
nature,20,551
use,20,552
going,20,553
times,20,554
fierce,20,555
"work,",20,556
breath,20,557
together,20,558
lie,20,559
enough,20,560
"also,",20,561
proud,20,562
solemn,20,563
"heart,",20,564
meet,20,565
soldiers,20,566
coming,20,567
teeming,20,568
power,19,569
"themselves,",19,570
future,19,571
"persons,",19,572
"ground,",19,573
"beauty,",19,574
river,19,575
mountains,19,576
"for,",19,577
"away,",19,578
crowd,19,579
friend,19,580
hundred,19,581
"ships,",19,582
wind,19,583
"done,",19,584
better,19,585
east,19,586
public,19,587
"out,",19,588
ah,19,589
5,19,590
"sing,",19,591
seen,19,592
"down,",19,593
sailing,19,594
"enough,",19,595
(as,19,596
walking,19,597
loving,19,598
ancient,19,599
"days,",19,600
"together,",19,601
houses,19,602
haply,19,603
"in,",19,604
whether,18,605
swift,18,606
flesh,18,607
neither,18,608
flag,18,609
brought,18,610
beneath,18,611
remain,18,612
"streets,",18,613
"over,",18,614
doubt,18,615
thoughts,18,616
lies,18,617
6,18,618
shows,18,619
"hands,",18,620
half,18,621
female,18,622
measureless,18,623
forward,18,624
solid,18,625
sure,18,626
neck,18,627
sky,18,628
"forth,",18,629
"friend,",18,630
loud,18,631
known,18,632
green,18,633
"grass,",18,634
"that,",18,635
said,18,636
found,18,637
having,18,638
winter,18,639
"joy,",18,640
(o,18,641
mystic,18,642
general,18,643
"is,",18,644
flowing,18,645
returning,18,646
"child,",18,647
"people,",17,648
blue,17,649
seek,17,650
people,17,651
latent,17,652
press,17,653
"other,",17,654
"present,",17,655
ample,17,656
below,17,657
manly,17,658
"close,",17,659
announce,17,660
moving,17,661
"lovers,",17,662
eternal,17,663
"any,",17,664
form,17,665
father,17,666
"home,",17,667
"future,",17,668
passage,17,669
"be,",17,670
beach,17,671
born,17,672
star,17,673
morning,17,674
separate,17,675
forget,17,676
ceaseless,17,677
making,17,678
matter,16,679
lightly,16,680
leaving,16,681
across,16,682
mind,16,683
globe,16,684
hence,16,685
knew,16,686
"waters,",16,687
friendly,16,688
myriads,16,689
manhattan,16,690
poets,16,691
it.,16,692
hills,16,693
rivers,16,694
hot,16,695
earth.,16,696
cut,16,697
mark,16,698
"thought,",16,699
sad,16,700
"shores,",16,701
stop,16,702
except,16,703
limbs,16,704
set,16,705
arm,16,706
follow,16,707
gave,16,708
beauty,16,709
"side,",16,710
"age,",16,711
chants,16,712
cool,16,713
live,16,714
"sleep,",16,715
fully,16,716
held,16,717
"fields,",16,718
heroes,16,719
bright,16,720
slow,16,721
"race,",16,722
"river,",16,723
appear,16,724
natural,16,725
learn'd,16,726
brown,16,727
joy!,16,728
onward,16,729
roll,15,730
pride,15,731
looks,15,732
mother's,15,733
room,15,734
yellow,15,735
"mountains,",15,736
varied,15,737
grow,15,738
persons,15,739
gather,15,740
late,15,741
"know,",15,742
banner,15,743
"heroes,",15,744
"forms,",15,745
lovers,15,746
evil,15,747
"rivers,",15,748
precious,15,749
"faith,",15,750
bloody,15,751
spiritual,15,752
love.,15,753
"sake,",15,754
remember,15,755
youth,15,756
rude,15,757
strike,15,758
shining,15,759
boy,15,760
cold,15,761
pensive,15,762
"friends,",15,763
already,15,764
"wars,",15,765
gives,15,766
ones,15,767
"her,",15,768
northern,15,769
7,15,770
wherever,15,771
"return,",15,772
fit,15,773
8,15,774
"feet,",15,775
road,15,776
"universe,",15,777
"near,",15,778
again.,15,779
"animals,",15,780
"faces,",15,781
moves,15,782
beat,15,783
aside,15,784
advance,15,785
"best,",14,786
hast,14,787
foot,14,788
fair,14,789
smoke,14,790
ready,14,791
"darkness,",14,792
carrying,14,793
taking,14,794
i'd,14,795
brave,14,796
"own,",14,797
forests,14,798
draw,14,799
"house,",14,800
comrade,14,801
answer,14,802
sing.,14,803
call'd,14,804
happy,14,805
"neck,",14,806
earth's,14,807
walk'd,14,808
tender,14,809
equally,14,810
"himself,",14,811
"dark,",14,812
heaven,14,813
soft,14,814
square,14,815
laws,14,816
poor,14,817
lead,14,818
lover,14,819
"thoughts,",14,820
pale,14,821
delicious,14,822
"content,",14,823
seeking,14,824
phantom,14,825
float,14,826
eastern,14,827
"calm,",14,828
savage,14,829
"laws,",14,830
"place,",14,831
wounded,14,832
spreading,14,833
may-be,14,834
knows,14,835
"strong,",14,836
"name,",14,837
rapt,13,838
breathe,13,839
"nations,",13,840
went,13,841
crossing,13,842
because,13,843
love!,13,844
nations,13,845
sails,13,846
"battle,",13,847
watch,13,848
"seas,",13,849
eidolons.,13,850
peaceful,13,851
"crowd,",13,852
thick,13,853
"beautiful,",13,854
"way,",13,855
art,13,856
transparent,13,857
fallen,13,858
limitless,13,859
perceive,13,860
"gone,",13,861
greatest,13,862
parts,13,863
seas,13,864
dream'd,13,865
"joys,",13,866
master,13,867
bodies,13,868
"freedom,",13,869
receive,13,870
grave,13,871
growing,13,872
"ranks,",13,873
fire,13,874
read,13,875
bearing,13,876
"form,",13,877
male,13,878
slowly,13,879
bending,13,880
pleas'd,13,881
provided,13,882
"moon,",13,883
longer,13,884
naked,13,885
procession,13,886
lesson,13,887
spring,13,888
inland,13,889
drawn,13,890
gone,13,891
"health,",13,892
mere,13,893
carefully,13,894
"soldiers,",13,895
odor,13,896
unfolded,13,897
finally,13,898
terrible,13,899
forms,13,900
faith,13,901
comrades,13,902
"wife,",13,903
memories,13,904
"arms,",13,905
brain,13,906
borne,13,907
"others,",13,908
midnight,13,909
"clouds,",13,910
thine,13,911
blow,13,912
enter,13,913
solitary,13,914
object,13,915
vigil,13,916
soil,13,917
sacred,13,918
growth,13,919
"chant,",13,920
underneath,13,921
"breast,",12,922
book,12,923
wafted,12,924
lift,12,925
"yourself,",12,926
wandering,12,927
"father,",12,928
grand,12,929
stately,12,930
whence,12,931
sisters,12,932
immense,12,933
merely,12,934
centuries,12,935
"still,",12,936
sick,12,937
"free,",12,938
salute,12,939
lean,12,940
"arm,",12,941
rose,12,942
prove,12,943
golden,12,944
millions,12,945
idea,12,946
dying,12,947
wondrous,12,948
passionate,12,949
objects,12,950
souls,12,951
works,12,952
"storm,",12,953
"hear,",12,954
american,12,955
floating,12,956
field,12,957
mean,12,958
"globe,",12,959
"advancing,",12,960
"power,",12,961
songs.,12,962
midst,12,963
reference,12,964
dreams,12,965
falls,12,966
nigh,12,967
"to-day,",12,968
"back,",12,969
"behold,",12,970
giving,12,971
flow,12,972
firm,12,973
brother,12,974
bed,12,975
drop,12,976
vain,12,977
door,12,978
given,12,979
"everywhere,",12,980
"lips,",12,981
"leaves,",12,982
lines,12,983
materials,12,984
dim,12,985
